X coord (mm),Y coord (mm)
10.8578,4.77026
4.07881,1.32346
5.24301,1.26915
7.38916,0.893492
9.4278,0.810089
10.7701,1.02706
12.5635,0.947807
14.2024,0.881039
5.46136,1.81186
7.28366,2.55488
8.75723,2.78182
10.6074,2.69703
12.4018,2.81847
14.3675,2.70984
1.82121,5.16267
3.46832,5.30876
5.59782,5.12219
6.86278,5.01363
9.08757,5.12876
10.8338,4.28702
12.6286,4.37146
14.3138,4.53495
2.08651,6.32009
3.76849,6.15433
5.4737,6.27625
7.17082,6.10592
8.95885,6.22322
10.8147,6.37015
12.6351,6.24799
14.3136,6.13854
1.99492,8.17705
3.73653,7.97752
5.39884,8.08467
7.08928,7.8908
8.85141,8.02303
10.8022,8.13929
12.4098,7.97218
14.3635,8.10845
2.17111,9.79144
3.76365,9.91435
5.46969,9.6964
7.38047,9.77755
8.94449,9.58717
10.5785,9.71201
12.4823,9.80299
14.2752,9.63602
