Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.056171057,0,0,0,0,0,0,0,0,-0.0010957963,-0.011951015,-0.018483215,-0.0030702008,0,0,0,0,-0.0066485857,-0.044441491,-0.058380497,-0.00494884,0,0,0,0,-0.0039628177,-0.01817332,-0.010245378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-0.11234211,0,0,0,0,0,0,0,0,-0.0021915925,-0.023902029,-0.036966431,-0.0061404015,0,0,0,0,-0.013297171,-0.088882983,-0.11676099,-0.00989768,0,0,0,0,-0.0079256355,-0.036346641,-0.020490757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.16851317,0,0,0,0,0,0,0,0,-0.0032873888,-0.035853044,-0.055449646,-0.0092106023,0,0,0,0,-0.019945757,-0.13332447,-0.17514149,-0.01484652,0,0,0,0,-0.011888453,-0.054519961,-0.030736135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.22468423,0,0,0,0,0,0,0,0,-0.004383185,-0.047804059,-0.073932861,-0.012280803,0,0,0,0,-0.026594343,-0.17776597,-0.23352199,-0.01979536,0,0,0,0,-0.015851271,-0.072693282,-0.040981514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.28085529,0,0,0,0,0,0,0,0,-0.0054789813,-0.059755073,-0.092416076,-0.015351004,0,0,0,0,-0.033242928,-0.22220746,-0.29190248,-0.0247442,0,0,0,0,-0.019814089,-0.090866602,-0.051226892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.33702634,0,0,0,0,0,0,0,0,-0.0065747775,-0.071706088,-0.11089929,-0.018421205,0,0,0,0,-0.039891514,-0.26664895,-0.35028298,-0.02969304,0,0,0,0,-0.023776906,-0.10903992,-0.06147227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.3931974,0,0,0,0,0,0,0,0,-0.0076705738,-0.083657103,-0.12938251,-0.021491405,0,0,0,0,-0.0465401,-0.31109044,-0.40866348,-0.03464188,0,0,0,0,-0.027739724,-0.12721324,-0.071717649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.44936846,0,0,0,0,0,0,0,0,-0.00876637,-0.095608117,-0.14786572,-0.024561606,0,0,0,0,-0.053188686,-0.35553193,-0.46704397,-0.03959072,0,0,0,0,-0.031702542,-0.14538656,-0.081963027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-0.50553952,0,0,0,0,0,0,0,0,-0.0098621663,-0.10755913,-0.16634894,-0.027631807,0,0,0,0,-0.059837271,-0.39997342,-0.52542447,-0.04453956,0,0,0,0,-0.03566536,-0.16355988,-0.092208405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-0.56171057,0,0,0,0,0,0,0,0,-0.010957963,-0.11951015,-0.18483215,-0.030702008,0,0,0,0,-0.066485857,-0.44441491,-0.58380497,-0.0494884,0,0,0,0,-0.039628177,-0.1817332,-0.10245378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.61788163,0,0,0,0,0,0,0,0,-0.012053759,-0.13146116,-0.20331537,-0.033772208,0,0,0,0,-0.073134443,-0.48885641,-0.64218546,-0.05443724,0,0,0,0,-0.043590995,-0.19990652,-0.11269916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.67405269,0,0,0,0,0,0,0,0,-0.013149555,-0.14341218,-0.22179858,-0.036842409,0,0,0,0,-0.079783028,-0.5332979,-0.70056596,-0.05938608,0,0,0,0,-0.047553813,-0.21807985,-0.12294454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-0.73022374,0,0,0,0,0,0,0,0,-0.014245351,-0.15536319,-0.2402818,-0.03991261,0,0,0,0,-0.086431614,-0.57773939,-0.75894646,-0.06433492,0,0,0,0,-0.051516631,-0.23625317,-0.13318992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.7863948,0,0,0,0,0,0,0,0,-0.015341148,-0.16731421,-0.25876501,-0.042982811,0,0,0,0,-0.0930802,-0.62218088,-0.81732695,-0.06928376,0,0,0,0,-0.055479448,-0.25442649,-0.1434353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.84256586,0,0,0,0,0,0,0,0,-0.016436944,-0.17926522,-0.27724823,-0.046053011,0,0,0,0,-0.099728785,-0.66662237,-0.87570745,-0.0742326,0,0,0,0,-0.059442266,-0.27259981,-0.15368068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-0.89873692,0,0,0,0,0,0,0,0,-0.01753274,-0.19121623,-0.29573144,-0.049123212,0,0,0,0,-0.10637737,-0.71106386,-0.93408795,-0.07918144,0,0,0,0,-0.063405084,-0.29077313,-0.16392605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-0.95490797,0,0,0,0,0,0,0,0,-0.018628536,-0.20316725,-0.31421466,-0.052193413,0,0,0,0,-0.11302596,-0.75550535,-0.99246844,-0.08413028,0,0,0,0,-0.067367901,-0.30894645,-0.17417143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-1.011079,0,0,0,0,0,0,0,0,-0.019724333,-0.21511826,-0.33269787,-0.055263614,0,0,0,0,-0.11967454,-0.79994685,-1.0508489,-0.08907912,0,0,0,0,-0.071330719,-0.32711977,-0.18441681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-1.0672501,0,0,0,0,0,0,0,0,-0.020820129,-0.22706928,-0.35118109,-0.058333814,0,0,0,0,-0.12632313,-0.84438834,-1.1092294,-0.09402796,0,0,0,0,-0.075293537,-0.34529309,-0.19466219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-1.1234211,0,0,0,0,0,0,0,0,-0.021915925,-0.23902029,-0.36966431,-0.061404015,0,0,0,0,-0.13297171,-0.88882983,-1.1676099,-0.0989768,0,0,0,0,-0.079256355,-0.36346641,-0.20490757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-1.1795922,0,0,0,0,0,0,0,0,-0.023011721,-0.25097131,-0.38814752,-0.064474216,0,0,0,0,-0.1396203,-0.93327132,-1.2259904,-0.10392564,0,0,0,0,-0.083219172,-0.38163973,-0.21515295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-1.2357633,0,0,0,0,0,0,0,0,-0.024107518,-0.26292232,-0.40663074,-0.067544417,0,0,0,0,-0.14626889,-0.97771281,-1.2843709,-0.10887448,0,0,0,0,-0.08718199,-0.39981305,-0.22539832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
