Time (ms),Stress (kPa)
0,0
0.5,0.36171111
1,0.72342223
1.5,1.0851333
2,1.4468445
2.5,1.8085556
3,2.1702667
3.5,2.5319778
4,2.8936889
4.5,3.2554
5,3.6171111
5.5,3.9788223
6,4.3405334
6.5,4.7022445
7,5.0639556
7.5,5.4256667
8,5.7873778
8.5,6.1490889
9,6.5108001
9.5,6.8725112
10,7.2342223
10.5,7.5959334
11,7.9576445
11.5,8.3193556
12,8.6810667
12.5,9.0427779
13,9.404489
13.5,9.7662001
14,10.127911
14.5,10.489622
15,10.851333
15.5,11.213045
16,11.574756
16.5,11.936467
17,12.298178
17.5,12.659889
18,13.0216
18.5,13.383311
19,13.745022
19.5,14.106733
20,14.468445
20.5,14.830156
21,15.191867
21.5,15.553578
22,15.915289
22.5,16.277
23,16.638711
23.5,17.000422
24,17.362133
24.5,17.723845
25,18.085556
25.5,18.447267
26,18.808978
26.5,19.170689
27,19.5324
27.5,19.894111
28,20.255822
28.5,20.617534
29,20.979245
29.5,21.340956
30,21.702667
30.5,22.064378
31,22.426089
31.5,22.7878
32,23.149511
32.5,23.511222
33,23.872934
33.5,24.234645
34,24.596356
34.5,24.958067
35,25.319778
35.5,25.681489
36,26.0432
36.5,26.404911
37,26.766622
37.5,27.128334
38,27.490045
38.5,27.851756
39,28.213467
39.5,28.575178
40,28.936889
40.5,29.2986
41,29.660311
41.5,30.022022
42,30.383734
42.5,30.745445
43,31.107156
43.5,31.468867
44,31.830578
44.5,32.192289
45,32.554
45.5,32.915711
46,33.277422
46.5,33.639134
47,34.000845
47.5,34.362556
48,34.724267
48.5,35.085978
49,35.447689
49.5,35.8094
50,36.171111
50.5,36.532823
51,36.894534
51.5,37.256245
52,37.617956
52.5,37.979667
53,38.341378
53.5,38.703089
54,39.0648
54.5,39.426511
55,39.788223
55.5,40.149934
56,40.511645
56.5,40.873356
57,41.235067
57.5,41.596778
58,41.958489
58.5,42.3202
59,42.681911
59.5,43.043623
60,43.405334
60.5,43.767045
61,44.128756
61.5,44.490467
62,44.852178
62.5,45.213889
63,45.5756
63.5,45.937311
64,46.299023
64.5,46.660734
65,47.022445
65.5,47.384156
66,47.745867
66.5,48.107578
67,48.3853
67.5,48.621028
68,48.856756
68.5,49.092483
69,49.328211
69.5,49.563938
70,49.799666
70.5,50.035394
71,50.271121
71.5,50.506849
72,50.742577
72.5,50.978304
73,51.214032
73.5,51.44976
74,51.685487
74.5,51.921215
75,52.156943
75.5,52.39267
76,52.628398
76.5,52.864125
77,53.099853
77.5,53.335581
78,53.571308
78.5,53.807036
79,54.042764
79.5,54.278491
80,54.514219
80.5,54.749947
81,54.985674
81.5,55.221402
82,55.457129
82.5,55.692857
83,55.928585
83.5,56.164312
84,56.40004
84.5,56.635768
85,56.871495
85.5,57.107223
86,57.342951
86.5,57.578678
87,57.814406
87.5,58.050133
88,58.285861
88.5,58.521589
89,58.757316
89.5,58.993044
90,59.228772
90.5,59.464499
91,59.700227
91.5,59.935955
92,60.171682
92.5,60.40741
93,60.643137
93.5,60.878865
94,61.114593
94.5,61.35032
95,61.586048
95.5,61.821776
96,62.057503
96.5,62.293231
97,62.528959
97.5,62.764686
98,63.000414
98.5,63.236141
99,63.471869
99.5,63.707597
100,63.943324
100.5,64.179052
101,64.41478
101.5,64.650507
102,64.886235
102.5,65.121963
103,65.35769
103.5,65.593418
104,65.829146
104.5,66.064873
105,66.300601
105.5,66.536328
106,66.772056
106.5,67.007784
107,67.243511
107.5,67.479239
108,67.714967
108.5,67.950694
109,68.186422
109.5,68.42215
110,68.657877
110.5,68.893605
111,69.129332
111.5,69.36506
112,69.600788
112.5,69.836515
113,70.072243
113.5,70.307971
114,70.543698
114.5,70.779426
115,71.015154
115.5,71.250881
116,71.486609
116.5,71.722336
117,71.958064
117.5,72.193792
118,72.429519
118.5,72.665247
119,72.900975
119.5,73.136702
120,73.37243
120.5,73.608158
121,73.843885
