Time (ms),Stress (kPa)
0,-9.7956877
1,-9.3801644
2,-8.9646412
3,-8.5491179
4,-8.1335947
5,-7.7180714
6,-7.3025482
7,-6.887025
8,-6.4715017
9,-6.0559785
10,-5.6404552
11,-5.224932
12,-4.8094087
13,-4.3938855
14,-3.9783623
15,-3.562839
16,-3.1473158
17,-2.7317925
18,-2.3162693
19,-1.900746
20,-1.4852228
21,-1.0696996
22,-0.65417631
23,-0.23865307
24,0.17687018
25,0.59239342
26,1.0079167
27,1.4234399
28,1.8389632
29,2.2544864
30,2.6700096
31,3.0855329
32,3.5010561
33,3.9165794
34,4.3321026
35,4.7476259
36,5.1631491
37,5.5786723
38,5.9941956
39,6.4097188
40,6.8252421
41,7.2407653
42,7.6562886
43,8.0718118
44,8.487335
45,8.9028583
46,9.3183815
47,9.7339048
48,10.149428
49,10.564951
50,10.980475
51,11.395998
52,11.811521
53,12.227044
54,12.642567
55,13.058091
56,13.473614
57,13.889137
58,14.30466
59,14.720184
60,15.135707
61,15.55123
62,15.966753
63,16.382277
64,16.7978
65,17.213323
66,17.628846
67,18.04437
68,18.459893
69,18.875416
70,19.290939
71,19.706463
72,20.121986
73,20.537509
74,20.953032
75,21.368556
76,21.784079
77,22.199602
78,22.615125
79,23.030649
80,23.446172
81,23.861695
82,24.277218
83,24.692742
84,25.108265
85,25.523788
86,25.939311
87,26.354835
88,26.770358
89,27.185881
90,27.601404
91,28.016927
92,28.432451
93,28.847974
94,29.263497
95,29.67902
96,30.094544
97,30.510067
98,30.92559
99,31.341113
100,31.756637
101,32.17216
102,32.587683
103,33.003206
104,33.41873
105,33.834253
106,34.249776
107,34.665299
108,35.080823
109,35.496346
110,35.911869
111,36.327392
112,36.742916
113,37.158439
114,37.573962
115,37.989485
116,38.405009
117,38.820532
118,39.236055
119,39.651578
120,40.067102
121,40.482625
122,40.898148
123,41.313671
124,41.729195
125,42.144718
126,42.560241
127,42.975764
128,43.391287
129,43.806811
130,44.222334
131,44.637857
132,45.05338
133,45.468904
134,45.882477
135,46.295075
136,46.707673
137,47.120271
138,47.532869
139,47.945467
140,48.358065
141,48.770663
142,49.183262
143,49.59586
144,50.008458
145,50.421056
146,50.833654
147,51.246252
148,51.65885
149,52.071448
150,52.484046
151,52.896644
152,53.309242
153,53.72184
154,54.134439
155,54.547037
156,54.959635
157,55.372233
158,55.784831
159,56.197429
160,56.610027
161,57.022625
162,57.435223
163,57.847821
164,58.260419
165,58.673018
166,59.085616
167,59.498214
168,59.910812
169,60.32341
170,60.736008
171,61.148606
172,61.561204
173,61.973802
174,62.3864
175,62.798998
176,63.211596
177,63.624195
178,64.036793
179,64.449391
180,64.861989
181,65.274587
182,65.687185
183,66.099783
184,66.512381
185,66.924979
186,67.337577
187,67.750175
188,68.162773
189,68.575372
190,68.98797
191,69.400568
192,69.813166
193,70.225764
194,70.638362
195,71.05096
196,71.463558
197,71.876156
198,72.288754
199,72.701352
200,73.113951
201,73.526549
202,73.939147
203,74.351745
204,74.764343
205,75.176941
206,75.589539
207,76.002137
208,76.414735
209,76.827333
210,77.239931
211,77.652529
212,78.065128
213,78.477726
214,78.890324
215,79.302922
216,79.71552
217,80.128118
218,80.540716
219,80.953314
220,81.365912
221,81.77851
222,82.191108
223,82.603706
224,83.016305
225,83.428903
226,83.841501
227,84.254099
228,84.666697
229,85.079295
230,85.491893
231,85.904491
232,86.317089
233,86.729687
234,87.142285
235,87.554884
236,87.967482
237,88.38008
238,88.792678
239,89.205276
240,89.617874
241,90.030472
242,90.44307
243,90.855668
244,91.268266
245,91.680864
246,92.093462
247,92.506061
248,92.918659
249,93.331257
250,93.743855
251,94.156453
252,94.569051
253,94.981649
254,95.394247
255,95.806845
256,96.219443
257,96.632041
258,97.044639
259,97.457238
260,97.869836
261,98.282434
262,98.695032
263,99.10763
264,99.520228
265,99.932826
266,100.34542
267,100.76149
268,101.18449
269,101.6075
270,102.0305
271,102.4535
272,102.87651
273,103.29951
274,103.72251
275,104.14552
276,104.56852
277,104.99152
278,105.41453
279,105.83753
280,106.26053
281,106.68354
282,107.10654
283,107.52954
284,107.95255
285,108.37555
286,108.79855
287,109.22156
288,109.64456
289,110.06756
290,110.49057
291,110.91357
292,111.33657
293,111.75958
294,112.18258
295,112.60558
296,113.02859
297,113.45159
298,113.8746
299,114.2976
300,114.7206
301,115.14361
302,115.56661
303,115.98961
304,116.41262
305,116.83562
306,117.25862
307,117.68163
308,118.10463
309,118.52763
310,118.95064
311,119.37364
312,119.79664
313,120.21965
314,120.64265
315,121.06565
316,121.48866
317,121.91166
318,122.33466
319,122.75767
320,123.18067
321,123.60367
322,124.02668
323,124.44968
324,124.87268
325,125.29569
326,125.71869
327,126.14169
328,126.5647
329,126.9877
330,127.4107
331,127.83371
332,128.25671
333,128.67971
334,129.10272
335,129.52572
336,129.94872
337,130.37173
338,130.79473
339,131.21773
340,131.64074
341,132.06374
342,132.48674
343,132.90975
344,133.33275
345,133.75575
346,134.17876
347,134.60176
348,135.02476
349,135.44777
350,135.87077
351,136.29377
352,136.71678
353,137.13978
354,137.56278
355,137.98579
356,138.40879
357,138.83179
358,139.2548
359,139.6778
360,140.1008
361,140.52381
362,140.94681
363,141.36981
364,141.79282
365,142.21582
366,142.63882
367,143.06183
368,143.48483
369,143.90783
370,144.33084
371,144.75384
372,145.17684
373,145.59985
374,146.02285
375,146.44585
376,146.86886
377,147.29186
378,147.71486
379,148.13787
380,148.56087
381,148.98387
382,149.40688
383,149.82988
384,150.25288
385,150.67589
386,151.09889
387,151.52189
388,151.9449
389,152.3679
390,152.7909
391,153.21391
392,153.63691
393,154.05991
394,154.48292
395,154.90592
396,155.32892
397,155.75193
398,156.17493
399,156.59793
400,157.02094
401,157.46414
402,157.90734
403,158.35055
404,158.79375
405,159.23695
406,159.68015
407,160.12335
408,160.56656
409,161.00976
410,161.45296
411,161.89616
412,162.33937
413,162.78257
414,163.22577
415,163.66897
416,164.11218
417,164.55538
418,164.99858
419,165.44178
420,165.88498
421,166.32819
422,166.77139
423,167.21459
424,167.65779
425,168.101
426,168.5442
427,168.9874
428,169.4306
429,169.87381
430,170.31701
431,170.76021
432,171.20341
433,171.64662
434,172.08982
435,172.53302
436,172.97622
437,173.41942
438,173.86263
439,174.30583
440,174.74903
441,175.19223
442,175.63544
443,176.07864
444,176.52184
445,176.96504
446,177.40825
447,177.85145
448,178.29465
449,178.73785
450,179.18105
451,179.62426
452,180.06746
453,180.51066
454,180.95386
455,181.39707
456,181.84027
457,182.28347
458,182.72667
459,183.16988
460,183.61308
461,184.05628
462,184.49948
463,184.94269
464,185.38589
465,185.82909
466,186.27229
467,186.71549
468,187.1587
469,187.6019
470,188.0451
471,188.4883
472,188.93151
473,189.37471
474,189.81791
475,190.26111
476,190.70432
477,191.14752
478,191.59072
479,192.03392
480,192.47712
481,192.92033
482,193.36353
483,193.80673
484,194.24993
485,194.69314
486,195.13634
487,195.57954
488,196.02274
489,196.46595
490,196.90915
491,197.35235
492,197.79555
493,198.23876
494,198.68196
495,199.12516
496,199.56836
497,200.01156
498,200.45477
499,200.89797
500,201.34117
501,201.78437
502,202.22758
503,202.67078
504,203.11398
505,203.55718
506,204.00039
507,204.44359
508,204.88679
509,205.32999
510,205.77319
511,206.2164
512,206.6596
513,207.1028
514,207.546
515,207.98921
516,208.43241
517,208.87561
518,209.31881
519,209.76202
520,210.20522
521,210.64842
522,211.09162
523,211.53482
524,211.97803
525,212.42123
526,212.86443
527,213.30763
528,213.75084
529,214.19404
530,214.63724
531,215.08044
532,215.52365
533,215.96685
534,216.18783
535,216.29771
536,216.40758
537,216.51745
538,216.62733
539,216.7372
540,216.84707
541,216.95695
542,217.06682
543,217.1767
544,217.28657
545,217.39644
546,217.50632
547,217.61619
548,217.72607
549,217.83594
550,217.94581
551,218.05569
552,218.16556
553,218.27543
554,218.38531
555,218.49518
556,218.60506
557,218.71493
558,218.8248
559,218.93468
560,219.04455
561,219.15442
562,219.2643
563,219.37417
564,219.48405
565,219.59392
566,219.70379
567,219.81367
568,219.92354
569,220.03342
570,220.14329
571,220.25316
572,220.36304
573,220.47291
574,220.58278
575,220.69266
576,220.80253
577,220.91241
578,221.02228
579,221.13215
580,221.24203
581,221.3519
582,221.46177
583,221.57165
584,221.68152
585,221.7914
586,221.90127
587,222.01114
588,222.12102
589,222.23089
590,222.34077
591,222.45064
592,222.56051
593,222.67039
594,222.78026
595,222.89013
596,223.00001
597,223.10988
598,223.21976
599,223.32963
600,223.4395
601,223.54938
602,223.65925
603,223.76913
604,223.879
605,223.98887
606,224.09875
607,224.20862
608,224.31849
609,224.42837
610,224.53824
611,224.64812
612,224.75799
613,224.86786
614,224.97774
615,225.08761
616,225.19748
617,225.30736
618,225.41723
619,225.52711
620,225.63698
621,225.74685
622,225.85673
623,225.9666
624,226.07648
625,226.18635
626,226.29622
627,226.4061
628,226.51597
629,226.62584
630,226.73572
631,226.84559
632,226.95547
633,227.06534
634,227.17521
635,227.28509
636,227.39496
637,227.50484
638,227.61471
639,227.72458
640,227.83446
641,227.94433
642,228.0542
643,228.16408
644,228.27395
645,228.38383
646,228.4937
647,228.60357
648,228.71345
649,228.82332
650,228.93319
651,229.04307
652,229.15294
653,229.26282
654,229.37269
655,229.48256
656,229.59244
657,229.70231
658,229.81219
659,229.92206
660,230.03193
661,230.14181
662,230.25168
663,230.36155
664,230.47143
665,230.5813
666,230.69118
667,230.78942
668,230.86439
669,230.93937
670,231.01434
671,231.08932
672,231.16429
673,231.23927
674,231.31424
675,231.38922
676,231.4642
677,231.53917
678,231.61415
679,231.68912
680,231.7641
681,231.83907
682,231.91405
683,231.98902
684,232.064
685,232.13897
686,232.21395
687,232.28893
688,232.3639
689,232.43888
690,232.51385
691,232.58883
692,232.6638
693,232.73878
694,232.81375
695,232.88873
696,232.9637
697,233.03868
698,233.11366
699,233.18863
700,233.26361
701,233.33858
702,233.41356
703,233.48853
704,233.56351
705,233.63848
706,233.71346
707,233.78843
708,233.86341
709,233.93838
710,234.01336
711,234.08834
712,234.16331
713,234.23829
714,234.31326
715,234.38824
716,234.46321
717,234.53819
718,234.61316
719,234.68814
720,234.76311
721,234.83809
722,234.91307
723,234.98804
724,235.06302
725,235.13799
726,235.21297
727,235.28794
728,235.36292
729,235.43789
730,235.51287
731,235.58784
732,235.66282
733,235.7378
734,235.81277
735,235.88775
736,235.96272
737,236.0377
738,236.11267
739,236.18765
740,236.26262
741,236.3376
742,236.41257
743,236.48755
744,236.56253
745,236.6375
746,236.71248
747,236.78745
748,236.86243
749,236.9374
750,237.01238
751,237.08735
752,237.16233
753,237.2373
754,237.31228
755,237.38725
756,237.46223
757,237.53721
758,237.61218
759,237.68716
760,237.76213
761,237.83711
762,237.91208
763,237.98706
764,238.06203
765,238.13701
766,238.21198
767,238.28696
768,238.36194
769,238.43691
770,238.51189
771,238.58686
772,238.66184
773,238.73681
774,238.81179
775,238.88676
776,238.96174
777,239.03671
778,239.11169
779,239.18667
780,239.26164
781,239.33662
782,239.41159
783,239.48657
784,239.56154
785,239.63652
786,239.71149
787,239.78647
788,239.86144
789,239.93642
790,240.01139
791,240.08637
792,240.16135
793,240.23632
