Time (ms),Stress (kPa)
0,0
2,0.14873229
4,0.29746457
6,0.44619686
8,0.59492914
10,0.74366143
12,0.89239371
14,1.041126
16,1.1898583
18,1.3385906
20,1.4873229
22,1.6360551
24,1.7847874
26,1.9335197
28,2.082252
30,2.2309843
32,2.3797166
34,2.5284489
36,2.6771811
38,2.8259134
40,2.9746457
42,3.123378
44,3.2721103
46,3.4208426
48,3.5695749
50,3.7183071
52,3.8670394
54,4.0157717
56,4.164504
58,4.3132363
60,4.4619686
62,4.6107009
64,4.7594331
66,4.9081654
68,5.0568977
70,5.20563
72,5.3543623
74,5.5030946
76,5.6518268
78,5.8005591
80,5.9492914
82,6.0980237
84,6.246756
86,6.3954883
88,6.5442206
90,6.6929528
92,6.8416851
94,6.9904174
96,7.1391497
98,7.287882
100,7.4366143
102,7.5853466
104,7.7340788
106,7.8828111
108,8.0315434
110,8.1802757
112,8.329008
114,8.4777403
116,8.6264726
118,8.7752048
120,8.9239371
122,9.0726694
124,9.2214017
126,9.370134
128,9.5188663
130,9.6675986
132,9.8163308
134,9.9650631
136,10.113795
138,10.262528
140,10.41126
142,10.559992
144,10.708725
146,10.857457
148,11.006189
150,11.154921
152,11.303654
154,11.452386
156,11.601118
158,11.749851
160,11.898583
162,12.047315
164,12.196047
166,12.34478
168,12.493512
170,12.642244
172,12.790977
174,12.939709
176,13.088441
178,13.237173
180,13.385906
182,13.534638
184,13.68337
186,13.832103
188,13.980835
190,14.129567
192,14.278299
194,14.427032
196,14.575764
198,14.724496
200,14.873229
202,15.021961
204,15.170693
206,15.319425
208,15.468158
210,15.61689
212,15.765622
214,15.914355
216,16.063087
218,16.211819
220,16.360551
222,16.509284
224,16.658016
226,16.806748
228,16.955481
230,17.104213
232,17.252945
234,17.401677
236,17.55041
238,17.699142
240,17.847874
242,17.996607
244,18.145339
246,18.294071
248,18.442803
250,18.591536
252,18.740268
254,18.889
256,19.037733
258,19.186465
260,19.335197
262,19.483929
264,19.632662
266,19.781394
268,20.214632
270,20.790123
272,21.365614
274,21.941105
276,22.516596
278,23.092087
280,23.667578
282,24.243069
284,24.81856
286,25.394051
288,25.969542
290,26.545033
292,27.120524
294,27.696015
296,28.271507
298,28.846998
300,29.422489
302,29.99798
304,30.573471
306,31.148962
308,31.724453
310,32.299944
312,32.875435
314,33.450926
316,34.026417
318,34.601908
320,35.177399
322,35.75289
324,36.328381
326,36.903872
328,37.479363
330,38.054854
332,38.630345
334,39.205836
336,39.781327
338,40.356818
340,40.932309
342,41.5078
344,42.083291
346,42.658782
348,43.234273
350,43.809764
352,44.385255
354,44.960746
356,45.536237
358,46.111728
360,46.68722
362,47.262711
364,47.838202
366,48.413693
368,48.989184
370,49.564675
372,50.140166
374,50.715657
376,51.291148
378,51.866639
380,52.44213
382,53.017621
384,53.593112
386,54.168603
388,54.744094
390,55.319585
392,55.895076
394,56.470567
396,57.046058
398,57.621549
400,58.19704
402,58.772531
404,59.348022
406,59.923513
408,60.499004
410,61.074495
412,61.649986
414,62.225477
416,62.800968
418,63.376459
420,63.95195
422,64.527441
424,65.102933
426,65.678424
428,66.253915
430,66.829406
432,67.404897
434,67.980388
436,68.555879
438,69.13137
440,69.706861
442,70.282352
444,70.857843
446,71.433334
448,72.008825
450,72.584316
452,73.159807
454,73.735298
456,74.310789
458,74.88628
460,75.461771
462,76.037262
464,76.612753
466,77.188244
468,77.763735
470,78.339226
472,78.914717
474,79.490208
476,80.065699
478,80.64119
480,81.216681
482,81.792172
484,82.367663
486,82.943155
488,83.518646
490,84.094137
492,84.669628
494,85.245119
496,85.82061
498,86.396101
500,86.971592
502,87.547083
504,88.122574
506,88.698065
508,89.273556
510,89.849047
512,90.424538
514,91.000029
516,91.57552
518,92.151011
520,92.726502
522,93.301993
524,93.877484
526,94.452975
528,95.028466
530,95.603957
532,96.179448
534,96.676526
536,97.016777
538,97.357028
540,97.697279
542,98.03753
544,98.377781
546,98.718032
548,99.058283
550,99.398534
552,99.738785
554,100.07904
556,100.41929
558,100.75954
560,101.09979
562,101.44004
564,101.78029
566,102.12054
568,102.46079
570,102.80104
572,103.1413
574,103.48155
576,103.8218
578,104.16205
580,104.5023
582,104.84255
584,105.1828
586,105.52305
588,105.8633
590,106.20355
592,106.54381
594,106.88406
596,107.22431
598,107.56456
600,107.90481
602,108.24506
604,108.58531
606,108.92556
608,109.26581
610,109.60607
612,109.94632
614,110.28657
616,110.62682
618,110.96707
620,111.30732
622,111.64757
624,111.98782
626,112.32807
628,112.66832
630,113.00858
632,113.34883
634,113.68908
636,114.02933
638,114.36958
640,114.70983
642,115.05008
644,115.39033
646,115.73058
648,116.07084
650,116.41109
652,116.75134
654,117.09159
656,117.43184
658,117.77209
660,118.11234
662,118.45259
664,118.79284
666,119.13309
668,119.47335
670,119.8136
672,120.15385
674,120.4941
676,120.83435
678,121.1746
680,121.51485
682,121.8551
684,122.19535
686,122.5356
688,122.87586
690,123.21611
692,123.55636
694,123.89661
696,124.23686
698,124.57711
700,124.91736
702,125.25761
704,125.59786
706,125.93812
708,126.27837
710,126.61862
712,126.95887
714,127.29912
716,127.63937
718,127.97962
720,128.31987
722,128.66012
724,129.00037
726,129.34063
728,129.68088
730,130.02113
732,130.36138
734,130.70163
736,131.04188
738,131.38213
740,131.72238
742,132.06263
744,132.40288
746,132.74314
748,133.08339
750,133.42364
752,133.76389
754,134.10414
756,134.44439
758,134.78464
760,135.12489
762,135.46514
764,135.8054
766,136.14565
768,136.4859
770,136.82615
772,137.1664
774,137.50665
776,137.8469
778,138.18715
780,138.5274
782,138.86765
784,139.20791
786,139.54816
788,139.88841
790,140.22866
792,140.56891
794,140.90916
796,141.24941
798,141.58966
800,141.92991
802,142.27023
804,142.61054
806,142.95085
808,143.29116
810,143.63147
812,143.97178
814,144.31209
816,144.6524
818,144.99271
820,145.33303
822,145.67334
824,146.01365
826,146.35396
828,146.69427
830,147.03458
832,147.37489
834,147.7152
836,148.05552
838,148.39583
840,148.73614
842,149.07645
844,149.41676
846,149.75707
848,150.09738
850,150.43769
852,150.77801
854,151.11832
856,151.45863
858,151.79894
860,152.13925
862,152.47956
864,152.81987
866,153.16018
868,153.5005
870,153.84081
872,154.18112
874,154.52143
876,154.86174
878,155.20205
880,155.54236
882,155.88267
884,156.22298
886,156.5633
888,156.90361
890,157.24392
892,157.58423
894,157.92454
896,158.26485
898,158.60516
900,158.94547
902,159.28579
904,159.6261
906,159.96641
908,160.30672
910,160.64703
912,160.98734
914,161.32765
916,161.66796
918,162.00828
920,162.34859
922,162.6889
924,163.02921
926,163.36952
928,163.70983
930,164.05014
932,164.39045
934,164.73077
936,165.07108
938,165.41139
940,165.7517
942,166.09201
944,166.43232
946,166.77263
948,167.11294
950,167.45325
952,167.79357
954,168.13388
956,168.47419
958,168.8145
960,169.15481
962,169.49512
964,169.83543
966,170.17574
968,170.51606
970,170.85637
972,171.19668
974,171.53699
976,171.8773
978,172.21761
980,172.55792
982,172.89823
984,173.23855
986,173.57886
988,173.91917
990,174.25948
992,174.59979
994,174.9401
996,175.28041
998,175.62072
1000,175.96104
1002,176.30135
1004,176.64166
1006,176.98197
1008,177.32228
1010,177.66259
1012,178.0029
1014,178.34321
1016,178.68352
1018,179.02384
1020,179.36415
1022,179.70446
1024,180.04477
1026,180.38508
1028,180.72539
1030,181.0657
1032,181.40601
1034,181.74633
1036,182.08664
1038,182.42695
1040,182.76726
1042,183.10757
1044,183.44788
1046,183.78819
1048,184.1285
1050,184.46882
1052,184.80913
1054,185.14944
1056,185.48975
1058,185.83006
1060,186.17037
1062,186.51068
1064,186.85099
1066,187.19131
1068,187.52526
1070,187.85603
1072,188.1868
1074,188.51757
1076,188.84834
1078,189.17911
1080,189.50988
1082,189.84065
1084,190.17142
1086,190.50219
1088,190.83296
1090,191.16374
1092,191.49451
1094,191.82528
1096,192.15605
1098,192.48682
1100,192.81759
1102,193.14836
1104,193.47913
1106,193.8099
1108,194.14067
1110,194.47144
1112,194.80222
1114,195.13299
1116,195.46376
1118,195.79453
1120,196.1253
1122,196.45607
1124,196.78684
1126,197.11761
1128,197.44838
1130,197.77915
1132,198.10992
1134,198.4407
1136,198.77147
1138,199.10224
1140,199.43301
1142,199.76378
1144,200.09455
1146,200.42532
1148,200.75609
1150,201.08686
1152,201.41763
1154,201.7484
1156,202.07917
1158,202.40995
1160,202.74072
1162,203.07149
1164,203.40226
1166,203.73303
1168,204.0638
1170,204.39457
1172,204.72534
1174,205.05611
1176,205.38688
1178,205.71765
1180,206.04843
1182,206.3792
1184,206.70997
1186,207.04074
1188,207.37151
1190,207.70228
1192,208.03305
1194,208.36382
1196,208.69459
1198,209.02536
1200,209.35613
1202,209.68691
1204,210.01768
1206,210.34845
1208,210.67922
1210,211.00999
1212,211.34076
1214,211.67153
1216,212.0023
1218,212.33307
1220,212.66384
1222,212.99461
1224,213.32538
1226,213.65616
1228,213.98693
1230,214.3177
1232,214.64847
1234,214.97924
1236,215.31001
1238,215.64078
1240,215.97155
1242,216.30232
1244,216.63309
1246,216.96386
1248,217.29464
1250,217.62541
1252,217.95618
1254,218.28695
1256,218.61772
1258,218.94849
1260,219.27926
1262,219.61003
1264,219.9408
1266,220.27157
1268,220.60234
1270,220.93311
1272,221.26389
1274,221.59466
1276,221.92543
1278,222.2562
1280,222.58697
1282,222.91774
1284,223.24851
1286,223.57928
1288,223.91005
1290,224.24082
1292,224.57159
1294,224.90237
1296,225.23314
1298,225.56391
1300,225.89468
1302,226.22545
1304,226.55622
1306,226.88699
1308,227.21776
1310,227.54853
1312,227.8793
1314,228.21007
1316,228.54085
1318,228.87162
1320,229.20239
1322,229.53316
1324,229.86393
1326,230.1947
1328,230.52547
1330,230.85624
1332,231.18701
1334,231.43225
1336,231.50644
1338,231.58062
1340,231.65481
1342,231.72899
1344,231.80317
1346,231.87736
1348,231.95154
1350,232.02573
1352,232.09991
1354,232.17409
1356,232.24828
1358,232.32246
1360,232.39664
1362,232.47083
1364,232.54501
1366,232.6192
1368,232.69338
1370,232.76756
1372,232.84175
1374,232.91593
1376,232.99012
1378,233.0643
1380,233.13848
1382,233.21267
1384,233.28685
1386,233.36104
1388,233.43522
1390,233.5094
1392,233.58359
1394,233.65777
1396,233.73196
1398,233.80614
1400,233.88032
1402,233.95451
1404,234.02869
1406,234.10287
1408,234.17706
1410,234.25124
1412,234.32543
1414,234.39961
1416,234.47379
1418,234.54798
1420,234.62216
1422,234.69635
1424,234.77053
1426,234.84471
1428,234.9189
1430,234.99308
1432,235.06727
1434,235.14145
1436,235.21563
1438,235.28982
1440,235.364
1442,235.43819
1444,235.51237
1446,235.58655
1448,235.66074
1450,235.73492
1452,235.8091
1454,235.88329
1456,235.95747
1458,236.03166
1460,236.10584
1462,236.18002
1464,236.25421
1466,236.32839
1468,236.40258
1470,236.47676
1472,236.55094
1474,236.62513
1476,236.69931
1478,236.7735
1480,236.84768
1482,236.92186
1484,236.99605
1486,237.07023
1488,237.14442
1490,237.2186
1492,237.29278
1494,237.36697
1496,237.44115
1498,237.51533
1500,237.58952
1502,237.6637
1504,237.73789
1506,237.81207
1508,237.88625
1510,237.96044
1512,238.03462
1514,238.10881
1516,238.18299
1518,238.25717
1520,238.33136
1522,238.40554
1524,238.47973
1526,238.55391
1528,238.62809
1530,238.70228
1532,238.77646
1534,238.85065
1536,238.92483
1538,238.99901
1540,239.0732
1542,239.14738
1544,239.22156
1546,239.29575
1548,239.36993
1550,239.44412
1552,239.5183
1554,239.59248
1556,239.66667
1558,239.74085
1560,239.81504
1562,239.88922
1564,239.9634
1566,240.03759
1568,240.11177
1570,240.18596
1572,240.26014
1574,240.33432
1576,240.40851
1578,240.48269
1580,240.55688
1582,240.63106
1584,240.70524
1586,240.77943
1588,240.85361
1590,240.92779
1592,241.00198
1594,241.07616
1596,241.15035
1598,241.22453
1600,241.29871
1602,241.36691
1604,241.4351
1606,241.5033
1608,241.57149
1610,241.63969
1612,241.70788
1614,241.77608
1616,241.84427
1618,241.91247
1620,241.98066
1622,242.04886
1624,242.11705
1626,242.18524
1628,242.25344
1630,242.32163
1632,242.38983
1634,242.45802
1636,242.52622
1638,242.59441
1640,242.66261
1642,242.7308
1644,242.799
1646,242.86719
1648,242.93539
1650,243.00358
1652,243.07178
1654,243.13997
1656,243.20816
1658,243.27636
1660,243.34455
1662,243.41275
1664,243.48094
1666,243.54914
1668,243.61733
1670,243.68553
1672,243.75372
1674,243.82192
1676,243.89011
1678,243.95831
1680,244.0265
1682,244.0947
1684,244.16289
1686,244.23108
1688,244.29928
1690,244.36747
1692,244.43567
1694,244.50386
1696,244.57206
1698,244.64025
1700,244.70845
1702,244.77664
1704,244.84484
1706,244.91303
1708,244.98123
1710,245.04942
1712,245.11762
1714,245.18581
1716,245.254
1718,245.3222
1720,245.39039
1722,245.45859
1724,245.52678
1726,245.59498
1728,245.66317
1730,245.73137
1732,245.79956
1734,245.86776
1736,245.93595
1738,246.00415
1740,246.07234
1742,246.14054
1744,246.20873
1746,246.27692
1748,246.34512
1750,246.41331
1752,246.48151
1754,246.5497
1756,246.6179
1758,246.68609
1760,246.75429
1762,246.82248
1764,246.89068
1766,246.95887
1768,247.02707
1770,247.09526
1772,247.16346
1774,247.23165
1776,247.29984
1778,247.36804
1780,247.43623
1782,247.50443
1784,247.57262
1786,247.64082
1788,247.70901
1790,247.77721
1792,247.8454
1794,247.9136
1796,247.98179
1798,248.04999
1800,248.11818
1802,248.18638
1804,248.25457
1806,248.32276
1808,248.39096
1810,248.45915
1812,248.52735
1814,248.59554
1816,248.66374
1818,248.73193
1820,248.80013
1822,248.86832
1824,248.93652
1826,249.00471
1828,249.07291
1830,249.1411
1832,249.2093
1834,249.27749
1836,249.34568
1838,249.41388
1840,249.48207
1842,249.55027
1844,249.61846
1846,249.68666
1848,249.75485
1850,249.82305
1852,249.89124
1854,249.95944
1856,250.02763
1858,250.09583
1860,250.16402
1862,250.23222
1864,250.30041
1866,250.3686
1868,250.41923
1870,250.46107
1872,250.50291
1874,250.54475
1876,250.58659
1878,250.62843
1880,250.67027
1882,250.71211
1884,250.75395
1886,250.79579
1888,250.83763
1890,250.87947
1892,250.92131
1894,250.96315
1896,251.00499
1898,251.04683
1900,251.08867
1902,251.13051
1904,251.17235
1906,251.21419
1908,251.25603
1910,251.29787
1912,251.33971
1914,251.38155
1916,251.42339
1918,251.46523
1920,251.50707
1922,251.54891
1924,251.59075
1926,251.63259
1928,251.67443
1930,251.71627
1932,251.75811
1934,251.79995
1936,251.84179
1938,251.88363
1940,251.92547
1942,251.96731
1944,252.00915
1946,252.05099
1948,252.09284
1950,252.13468
1952,252.17652
1954,252.21836
1956,252.2602
1958,252.30204
1960,252.34388
1962,252.38572
1964,252.42756
1966,252.4694
1968,252.51124
1970,252.55308
1972,252.59492
1974,252.63676
1976,252.6786
1978,252.72044
1980,252.76228
1982,252.80412
1984,252.84596
1986,252.8878
1988,252.92964
1990,252.97148
1992,253.01332
1994,253.05516
1996,253.097
1998,253.13884
2000,253.18068
2002,253.22252
2004,253.26436
2006,253.3062
2008,253.34804
2010,253.38988
2012,253.43172
2014,253.47356
2016,253.5154
2018,253.55724
2020,253.59908
2022,253.64092
2024,253.68276
2026,253.7246
2028,253.76644
2030,253.80828
2032,253.85012
2034,253.89196
2036,253.9338
2038,253.97564
2040,254.01748
2042,254.05932
2044,254.10116
2046,254.143
2048,254.18484
2050,254.22668
2052,254.26852
2054,254.31036
2056,254.3522
2058,254.39404
2060,254.43588
2062,254.47772
2064,254.51956
2066,254.5614
2068,254.60324
2070,254.64508
2072,254.68692
2074,254.72876
2076,254.7706
2078,254.81244
2080,254.85428
2082,254.89612
2084,254.93796
2086,254.9798
2088,255.02164
2090,255.06349
2092,255.10533
2094,255.14717
2096,255.18901
2098,255.23085
2100,255.27269
2102,255.31453
2104,255.35637
2106,255.39821
2108,255.44005
2110,255.48189
2112,255.52373
2114,255.56557
