Time (ms),Stress (kPa)
0,0
1,0.21837271
2,0.43674542
3,0.65511814
4,0.87349085
5,1.0918636
6,1.3102363
7,1.528609
8,1.7469817
9,1.9653544
10,2.1837271
11,2.4020998
12,2.6204725
13,2.8388453
14,3.057218
15,3.2755907
16,3.4939634
17,3.7123361
18,3.9307088
19,4.1490815
20,4.3674542
21,4.585827
22,4.8041997
23,5.0225724
24,5.2409451
25,5.4593178
26,5.6776905
27,5.8960632
28,6.1144359
29,6.3328087
30,6.5511814
31,6.7695541
32,6.9879268
33,7.2062995
34,7.4246722
35,7.6430449
36,7.8614176
37,8.0797904
38,8.2981631
39,8.5165358
40,8.7349085
41,8.9532812
42,9.1716539
43,9.3900266
44,9.6083993
45,9.8267721
46,10.045145
47,10.263517
48,10.48189
49,10.700263
50,10.918636
51,11.137008
52,11.355381
53,11.573754
54,11.792126
55,12.010499
56,12.228872
57,12.447245
58,12.665617
59,12.88399
60,13.102363
61,13.320735
62,13.539108
63,13.757481
64,13.975854
65,14.194226
66,14.412599
67,14.630972
68,14.849344
69,15.067717
70,15.28609
71,15.504463
72,15.722835
73,15.941208
74,16.159581
75,16.377953
76,16.596326
77,16.814699
78,17.033072
79,17.251444
80,17.469817
81,17.68819
82,17.906562
83,18.124935
84,18.343308
85,18.561681
86,18.780053
87,18.998426
88,19.216799
89,19.435171
90,19.653544
91,19.871917
92,20.09029
93,20.308662
94,20.527035
95,20.745408
96,20.96378
97,21.182153
98,21.400526
99,21.618899
100,21.837271
101,22.055644
102,22.274017
103,22.492389
104,22.710762
105,22.929135
106,23.147508
107,23.36588
108,23.584253
109,23.802626
110,24.020998
111,24.239371
112,24.457744
113,24.676116
114,24.894489
115,25.112862
116,25.331235
117,25.549607
118,25.76798
119,25.986353
120,26.204725
121,26.423098
122,26.641471
123,26.859844
124,27.078216
125,27.296589
126,27.514962
127,27.733334
128,27.951707
129,28.17008
130,28.388453
131,28.606825
132,28.825198
133,29.043571
134,29.5335
135,30.159209
136,30.784917
137,31.410625
138,32.036333
139,32.662041
140,33.287749
141,33.913457
142,34.539166
143,35.164874
144,35.790582
145,36.41629
146,37.041998
147,37.667706
148,38.293414
149,38.919123
150,39.544831
151,40.170539
152,40.796247
153,41.421955
154,42.047663
155,42.673371
156,43.29908
157,43.924788
158,44.550496
159,45.176204
160,45.801912
161,46.42762
162,47.053328
163,47.679037
164,48.304745
165,48.930453
166,49.556161
167,50.181869
168,50.807577
169,51.433285
170,52.058994
171,52.684702
172,53.31041
173,53.936118
174,54.561826
175,55.187534
176,55.813242
177,56.43895
178,57.064659
179,57.690367
180,58.316075
181,58.941783
182,59.567491
183,60.193199
184,60.818907
185,61.444616
186,62.070324
187,62.696032
188,63.32174
189,63.947448
190,64.573156
191,65.198864
192,65.824573
193,66.450281
194,67.075989
195,67.701697
196,68.327405
197,68.953113
198,69.578821
199,70.20453
