Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.056171057,-0.0058925389,-0.0062585174,-0.0055920043,-0.0045967702,-0.0054448485,-0.0054234397,-0.0042666997,-0.0058144773,-0.0043652031,-0.0036791696,-0.023894747,-0.02091923,-0.0020893873,-0.0040797336,-0.0049211432,-0.0027210209,-0.0090181431,-0.041417393,-0.04018614,-0.0015660474,-0.0038147171,-0.0052695077,-0.0043440866,-0.0026673431,-0.0037924106,-0.0030596365,-0.0046682823,-0.0035585166,-0.0049793638,-0.0054367547,-0.0069416073,-0.008146532,-0.0068910837,-0.0044775162,-0.003010566,-0.0048293801,-0.0052240763,-0.0063645627,-0.0062723503,-0.0050997946,-0.003863183,-0.0024648265
2,-0.11234211,-0.011785078,-0.012517035,-0.011184009,-0.0091935405,-0.010889697,-0.010846879,-0.0085333995,-0.011628955,-0.0087304062,-0.0073583393,-0.047789494,-0.041838459,-0.0041787747,-0.0081594671,-0.0098422864,-0.0054420418,-0.018036286,-0.082834786,-0.080372279,-0.0031320947,-0.0076294342,-0.010539015,-0.0086881732,-0.0053346862,-0.0075848211,-0.0061192729,-0.0093365646,-0.0071170333,-0.0099587276,-0.010873509,-0.013883215,-0.016293064,-0.013782167,-0.0089550325,-0.0060211321,-0.0096587602,-0.010448153,-0.012729125,-0.012544701,-0.010199589,-0.007726366,-0.0049296531
3,-0.16851317,-0.017677617,-0.018775552,-0.016776013,-0.013790311,-0.016334545,-0.016270319,-0.012800099,-0.017443432,-0.013095609,-0.011037509,-0.071684241,-0.062757689,-0.006268162,-0.012239201,-0.01476343,-0.0081630627,-0.027054429,-0.12425218,-0.12055842,-0.0046981421,-0.011444151,-0.015808523,-0.01303226,-0.0080020293,-0.011377232,-0.0091789094,-0.014004847,-0.01067555,-0.014938091,-0.016310264,-0.020824822,-0.024439596,-0.020673251,-0.013432549,-0.0090316981,-0.01448814,-0.015672229,-0.019093688,-0.018817051,-0.015299384,-0.011589549,-0.0073944796
4,-0.22468423,-0.023570156,-0.02503407,-0.022368017,-0.018387081,-0.021779394,-0.021693759,-0.017066799,-0.023257909,-0.017460812,-0.014716679,-0.095578988,-0.083676918,-0.0083575494,-0.016318934,-0.019684573,-0.010884084,-0.036072572,-0.16566957,-0.16074456,-0.0062641895,-0.015258868,-0.021078031,-0.017376346,-0.010669372,-0.015169642,-0.012238546,-0.018673129,-0.014234067,-0.019917455,-0.021747019,-0.027766429,-0.032586128,-0.027564335,-0.017910065,-0.012042264,-0.01931752,-0.020896305,-0.025458251,-0.025089401,-0.020399178,-0.015452732,-0.0098593062
5,-0.28085529,-0.029462694,-0.031292587,-0.027960021,-0.022983851,-0.027224242,-0.027117198,-0.021333499,-0.029072386,-0.021826016,-0.018395848,-0.11947373,-0.10459615,-0.010446937,-0.020398668,-0.024605716,-0.013605104,-0.045090716,-0.20708696,-0.2009307,-0.0078302369,-0.019073586,-0.026347538,-0.021720433,-0.013336716,-0.018962053,-0.015298182,-0.023341412,-0.017792583,-0.024896819,-0.027183774,-0.034708037,-0.04073266,-0.034455418,-0.022387581,-0.01505283,-0.0241469,-0.026120382,-0.031822814,-0.031361751,-0.025498973,-0.019315915,-0.012324133
6,-0.33702634,-0.035355233,-0.037551105,-0.033552026,-0.027580621,-0.032669091,-0.032540638,-0.025600198,-0.034886864,-0.026191219,-0.022075018,-0.14336848,-0.12551538,-0.012536324,-0.024478401,-0.029526859,-0.016326125,-0.054108859,-0.24850436,-0.24111684,-0.0093962842,-0.022888303,-0.031617046,-0.02606452,-0.016004059,-0.022754463,-0.018357819,-0.028009694,-0.0213511,-0.029876183,-0.032620528,-0.041649644,-0.048879192,-0.041346502,-0.026865097,-0.018063396,-0.028976281,-0.031344458,-0.038187376,-0.037634102,-0.030598767,-0.023179098,-0.014788959
7,-0.3931974,-0.041247772,-0.043809622,-0.03914403,-0.032177392,-0.038113939,-0.037964078,-0.029866898,-0.040701341,-0.030556422,-0.025754187,-0.16726323,-0.14643461,-0.014625711,-0.028558135,-0.034448003,-0.019047146,-0.063127002,-0.28992175,-0.28130298,-0.010962332,-0.02670302,-0.036886554,-0.030408606,-0.018671402,-0.026546874,-0.021417455,-0.032677976,-0.024909616,-0.034855547,-0.038057283,-0.048591251,-0.057025724,-0.048237586,-0.031342614,-0.021073962,-0.033805661,-0.036568534,-0.044551939,-0.043906452,-0.035698562,-0.027042281,-0.017253786
8,-0.44936846,-0.047140311,-0.050068139,-0.044736034,-0.036774162,-0.043558788,-0.043387517,-0.034133598,-0.046515818,-0.034921625,-0.029433357,-0.19115798,-0.16735384,-0.016715099,-0.032637869,-0.039369146,-0.021768167,-0.072145145,-0.33133914,-0.32148912,-0.012528379,-0.030517737,-0.042156061,-0.034752693,-0.021338745,-0.030339285,-0.024477092,-0.037346259,-0.028468133,-0.039834911,-0.043494038,-0.055532859,-0.065172256,-0.055128669,-0.03582013,-0.024084528,-0.038635041,-0.041792611,-0.050916502,-0.050178802,-0.040798356,-0.030905464,-0.019718612
9,-0.50553952,-0.05303285,-0.056326657,-0.050328038,-0.041370932,-0.049003636,-0.048810957,-0.038400298,-0.052330295,-0.039286828,-0.033112527,-0.21505272,-0.18827307,-0.018804486,-0.036717602,-0.044290289,-0.024489188,-0.081163288,-0.37275654,-0.36167526,-0.014094426,-0.034332454,-0.047425569,-0.039096779,-0.024006088,-0.034131695,-0.027536728,-0.042014541,-0.03202665,-0.044814274,-0.048930793,-0.062474466,-0.073318788,-0.062019753,-0.040297646,-0.027095094,-0.043464421,-0.047016687,-0.057281064,-0.056451153,-0.045898151,-0.034768647,-0.022183439
