Time (ms),Stress (kPa)
0,0
1,2.638308478
2,5.276617029
3,7.914925215
4,10.55323435
5,13.19154276
6,15.82985116
7,18.46815957
8,21.10646797
9,23.74477638
10,26.38308478
11,29.02139392
12,31.65970232
13,34.29801073
14,36.93631913
15,39.57462754
16,42.21293594
17,44.85124435
18,47.48955348
19,50.12786189
20,52.76617029
21,55.4044787
22,58.0427871
23,60.68109551
24,63.31940391
25,65.95771305
26,68.59602145
27,71.23432986
28,73.8726368
29,76.51094448
30,79.14925215
31,81.78756712
32,84.4258748
33,87.06418248
34,89.70249015
35,92.34079783
36,94.9791055
37,97.61741318
38,100.2557209
39,102.8940285
40,105.5323435
41,108.1706512
42,110.8089589
43,113.4472665
44,116.0855742
45,118.7238819
46,121.3621896
47,124.0004972
48,126.6388049
49,129.2771199
50,131.9154276
51,134.5537352
52,137.1920429
53,139.8303506
54,142.4686583
55,145.1069659
56,147.7452736
57,150.3835886
58,153.0218963
59,155.6602039
60,158.2985116
61,160.9368193
62,163.575127
63,166.2134346
64,168.8517423
65,171.49005
66,174.128365
67,176.7666726
68,179.4049803
69,182.043288
70,184.6815957
71,187.3199033
72,189.958211
73,192.5965187
74,195.2348264
75,197.8731413
76,200.511449
77,203.1497567
78,205.7880644
79,208.426372
80,211.0646797
81,213.7029874
82,216.3412951
83,218.9796027
84,221.6179177
85,224.2562254
86,226.8945331
87,229.5328407
88,232.1711484
89,234.8094561
90,237.4477638
91,240.0860714
92,242.7243791
93,245.3626941
94,248.0010018
95,250.6393094
96,253.2776171
97,255.9159248
98,258.5542325
99,261.1925401
100,263.8308478
101,266.4691628
102,269.1074705
103,271.7457781
104,274.3840858
105,277.0223935
106,279.6607012
107,282.2990088
108,284.9373165
109,287.5756242
110,290.2139392
111,292.8522468
112,295.4905545
113,298.1288622
114,300.7671699
115,303.4054775
116,306.0437852
117,308.6820929
118,311.3204006
119,313.9587155
120,316.5970232
121,319.2353309
122,321.8736386
123,324.5119462
124,327.1502539
125,329.7885616
126,332.4268693
127,335.0651769
128,337.7034919
129,340.3417996
130,342.9801073
131,345.6184149
132,348.2567226
133,350.8950303
134,352.9207251
135,354.640117
136,356.359509
137,358.0788937
138,359.7982857
139,361.5176704
140,363.2370623
141,364.9564543
142,366.675839
143,368.395231
144,370.114623
145,371.8340076
146,373.5533996
147,375.2727916
148,376.9921763
149,378.7115683
150,380.4309602
151,382.1503449
152,383.8697369
153,385.5891216
154,387.3085136
155,389.0279055
156,390.7472902
157,392.4666822
158,394.1860742
159,395.9054589
160,397.6248508
161,399.3442428
162,401.0636275
163,402.7830195
164,404.5024042
165,406.2217961
166,407.9411881
167,409.6605728
168,411.3799648
169,413.0993568
170,414.8187415
171,416.5381334
172,418.2575254
173,419.9769101
174,421.6963021
175,423.4156868
176,425.1350787
177,426.8544707
178,428.5738554
179,430.2932474
180,432.0126393
181,433.732024
182,435.451416
183,437.170808
184,438.8901927
185,440.6095847
186,442.3289693
187,444.0483613
188,445.7677533
189,447.487138
190,449.20653
191,450.9259219
192,452.6453066
193,454.3646986
194,456.0840906
195,457.8034753
196,459.5228672
197,461.2422519
198,462.9616439
199,464.6810359
200,466.4004206
201,468.1198125
202,469.8392045
203,471.5585892
204,473.2779812
205,474.9973732
206,476.7167578
207,478.4361498
208,480.1555418
209,481.8749265
210,483.5943185
211,485.3137031
212,487.0330951
213,488.7524871
214,490.4718718
215,492.1912638
216,493.9106557
217,495.6300404
218,497.3494324
219,499.0688244
220,500.7882091
221,502.507601
222,504.2269857
223,505.9463777
224,507.6657697
225,509.3851544
226,511.1045463
227,512.8239383
228,514.543323
229,516.262715
230,517.982107
231,519.7014916
232,521.4208836
233,523.1402683
234,524.8596603
235,526.5790523
236,528.2984369
237,530.0178289
238,531.7372209
239,533.4566056
240,535.1759976
241,536.8953895
242,538.6147742
243,540.3341662
244,542.0535509
245,543.7729429
246,545.4923348
247,547.2117195
248,548.9311115
249,550.6505035
250,552.3698882
251,554.0892802
252,555.8086721
253,557.5280568
254,559.2474488
255,560.9668335
256,562.6862255
257,564.4056174
258,566.1250021
259,567.8443941
260,569.5637861
261,571.2831708
262,573.0025627
263,574.7219547
264,576.4413394
265,578.1607314
266,579.8801234
267,581.4884574
268,582.8746975
269,584.2609303
270,585.6471704
271,587.0334032
272,588.4196433
273,589.8058761
274,591.1921161
275,592.5783489
276,593.964589
277,595.3508218
278,596.7370619
279,598.123302
280,599.5095348
281,600.8957749
282,602.2820077
283,603.6682478
284,605.0544806
285,606.4407207
286,607.8269534
287,609.2131935
288,610.5994263
289,611.9856664
290,613.3718992
291,614.7581393
292,616.1443721
293,617.5306122
294,618.9168523
295,620.3030851
296,621.6893252
297,623.0755579
298,624.461798
299,625.8480308
300,627.2342709
301,628.6205037
302,630.0067438
303,631.3929766
304,632.7792167
305,634.1654495
306,635.5516896
307,636.9379297
308,638.3241625
309,639.7104025
310,641.0966353
311,642.4828754
312,643.8691082
313,645.2553483
314,646.6415811
315,648.0278212
316,649.414054
317,650.8002941
318,652.1865269
319,653.572767
320,654.9589998
321,656.3452398
322,657.7314799
323,659.1177127
324,660.5039528
325,661.8901856
326,663.2764257
327,664.6626585
328,666.0488986
329,667.4351314
330,668.8213715
331,670.2076043
332,671.5938443
333,672.9800771
334,674.3663172
335,675.75255
336,677.1387901
337,678.5250302
338,679.911263
339,681.2975031
340,682.6837359
341,684.069976
342,685.4562088
343,686.8424489
344,688.2286816
345,689.6149217
346,691.0011545
347,692.3873946
348,693.7736274
349,695.1598675
350,696.5461076
351,697.9323404
352,699.3185805
353,700.7048133
354,702.0910534
355,703.4772862
356,704.8635262
357,706.249759
358,707.6359991
359,709.0222319
360,710.408472
361,711.7947048
362,713.1809449
363,714.5671777
364,715.9534178
365,717.3396579
366,718.7258907
367,720.1121307
368,721.4983635
369,722.8846036
370,724.2708364
371,725.6570765
372,727.0433093
373,728.4295494
374,729.8157676
375,731.2019858
376,732.588277
377,733.9744952
378,735.3607134
379,736.7470045
380,738.1332227
381,739.5194409
382,740.9056591
383,742.2919503
384,743.6781685
385,745.0643867
386,746.4506049
387,747.836896
388,749.2231143
389,750.6093325
390,751.9955507
391,753.3818418
392,754.76806
393,756.1542782
394,757.5404964
395,758.9267876
396,760.3130058
397,761.699224
398,763.0854422
399,764.4717333
400,765.8579516
401,767.193112
402,768.5282724
403,769.8634329
404,771.1985933
405,772.5337538
406,773.8689142
407,775.2041476
408,776.5393081
409,777.8744685
410,779.209629
411,780.5447894
412,781.8799498
413,783.2151103
414,784.5502707
415,785.8854312
416,787.2205916
417,788.5557521
418,789.8909855
419,791.2261459
420,792.5613064
421,793.8964668
422,795.2316272
423,796.5667877
424,797.9019481
425,799.2371086
426,800.572269
427,801.9074295
428,803.2426629
429,804.5778233
430,805.9129838
431,807.2481442
432,808.5833046
433,809.9184651
434,811.2536255
435,812.588786
436,813.9239464
437,815.2591069
438,816.5942673
439,817.9295007
440,819.2646611
441,820.5998216
442,821.934982
443,823.2701425
444,824.6053029
445,825.9404634
446,827.2756238
447,828.6107843
448,829.9459447
449,831.2811781
450,832.6163385
451,833.951499
452,835.2866594
453,836.6218199
454,837.9569803
455,839.2921408
456,840.6273012
457,841.9624617
458,843.2976221
459,844.6328555
460,845.9680159
461,847.3031764
462,848.6383368
463,849.9734973
464,851.3086577
465,852.6438182
466,853.9789786
467,855.3141391
468,856.6492995
469,857.98446
470,859.3196933
471,860.6548538
472,861.9900142
473,863.3251747
474,864.6603351
475,865.9954956
476,867.330656
477,868.6658165
478,870.0009769
479,871.3361374
480,872.6713707
481,874.0065312
482,875.3416916
483,876.6768521
484,878.0120125
485,879.347173
486,880.6823334
487,882.0174939
488,883.3526543
489,884.6878148
490,886.0230481
491,887.3582086
492,888.693369
493,890.0285295
494,891.3636899
495,892.6988504
496,894.0340108
497,895.3691713
498,896.7043317
