Time (ms),Stress (kPa)
0,0.0
2,1.3191542419570412
4,2.6383085203839123
6,3.9574626164616364
8,5.276617186647141
10,6.595771392134353
12,7.914925597621565
14,9.234079803108777
16,10.55323400859599
18,11.8723882140832
20,13.191542419570412
22,14.510696989755917
24,15.82985119524313
26,17.149005400730342
28,18.468159606217554
30,19.787313811704767
32,21.10646801719198
34,22.425622222679188
36,23.744776792864695
38,25.063930998351907
40,26.38308520383912
42,27.70223940932633
44,29.021393614813544
46,30.340547820300753
48,31.65970202578797
50,32.978856595973475
52,34.298010801460684
54,35.6171650069479
56,36.93631848303852
58,38.25547232382745
60,39.57462616461636
62,40.8937836523882
64,42.21293749317713
66,43.53209133396605
68,44.851245174754965
70,46.170399015543886
72,47.4895528563328
74,48.80870669712173
76,50.12786053791064
78,51.44701437869956
80,52.7661718664714
82,54.08532570726033
84,55.404479548049245
86,56.72363338883817
88,58.04278722962709
90,59.36194107041601
92,60.68109491120493
94,62.000248751993844
96,63.319402592782765
98,64.63856008055461
100,65.95771392134353
102,67.27686776213245
104,68.59602160292137
106,69.91517544371028
108,71.23432928449921
110,72.55348312528812
112,73.87263696607704
114,75.19179445384889
116,76.5109482946378
118,77.83010213542673
120,79.14925597621566
122,80.46840981700457
124,81.7875636577935
126,83.10671749858241
128,84.42587133937133
130,85.74502518016024
132,87.0641826679321
134,88.38333650872102
136,89.70249034950993
138,91.02164419029884
140,92.34079803108777
142,93.65995187187669
144,94.9791057126656
146,96.29825955345453
148,97.61741339424346
150,98.93657088201529
152,100.2557247228042
154,101.57487856359315
156,102.89403240438206
158,104.21318624517097
160,105.53234008595989
162,106.85149392674882
164,108.17064776753773
166,109.48980160832664
168,110.80895909609849
170,112.12811293688742
172,113.44726677767633
174,114.76642061846525
176,116.08557445925418
178,117.4047283000431
180,118.72388214083202
182,120.04303598162093
184,121.36218982240986
186,122.68134731018169
188,124.0005011509706
190,125.31965499175952
192,126.63880883254845
194,127.95796267333736
196,129.27711651412628
198,130.5962703549152
200,131.91542419570413
202,133.23458168347597
204,134.5537355242649
206,135.87288936505382
208,137.19204320584274
210,138.51119704663165
212,139.83035088742056
214,141.14950472820948
216,142.46865856899842
218,143.78781240978734
220,145.1069698975592
222,146.4261237383481
224,147.74527757913702
226,149.06443141992594
228,150.38358526071485
230,151.70273910150377
232,153.0218929422927
234,154.34104678308162
236,155.66020062387054
238,156.97935811164237
240,158.2985119524313
242,159.61766579322023
244,160.93681963400914
246,162.25597347479805
248,163.575127315587
250,164.8942811563759
252,166.21343499716482
254,167.53258883795374
256,168.85174632572557
258,170.17090016651449
260,171.4900540073034
262,172.80920784809234
264,174.12836168888126
266,175.44751552967017
268,176.4603629215703
270,177.32005891251745
272,178.1797549034646
274,179.03944724742885
276,179.89914323837604
278,180.75883558234028
280,181.61853157328744
282,182.4782275642346
284,183.33791990819884
286,184.19761589914603
288,185.05731189009316
290,185.91700423405743
292,186.7767002250046
294,187.63639621595175
296,188.496088559916
298,189.35578455086315
300,190.2154805418103
302,191.07517288577458
304,191.9348688767217
306,192.79456122068598
308,193.65425721163314
310,194.5139532025803
312,195.37364554654454
314,196.2333415374917
316,197.09303752843886
318,197.95272987240313
320,198.81242586335028
322,199.67212185429744
324,200.5318141982617
326,201.39151018920884
328,202.2512025331731
330,203.11089852412024
332,203.97059451506743
334,204.83028685903167
336,205.68998284997883
338,206.549678840926
340,207.40937118489026
342,208.2690671758374
344,209.12876316678458
346,209.9884555107488
348,210.84815150169598
350,211.70784384566022
352,212.56753983660738
354,213.42723582755457
356,214.2869281715188
358,215.14662416246597
360,216.00632015341313
362,216.8660124973774
364,217.72570848832453
366,218.58540447927172
368,219.44509682323593
370,220.30479281418312
372,221.16448515814736
374,222.02418114909452
376,222.88387714004168
378,223.74356948400595
380,224.60326547495308
382,225.46296146590026
384,226.32265380986448
386,227.18234980081166
388,228.04204579175882
390,228.90173813572306
392,229.76143412667025
394,230.6211264706345
396,231.48082246158165
398,232.3405184525288
400,233.20021079649305
402,234.0599067874402
404,234.91960277838737
406,235.77929512235164
408,236.6389911132988
410,237.49868710424593
412,238.35837944821023
414,239.21807543915736
416,240.07777143010452
418,240.9374637740688
420,241.79715976501595
422,242.6568521089802
424,243.51654809992738
426,244.3762440908745
428,245.23593643483875
430,246.09563242578594
432,246.9553284167331
434,247.81502076069734
436,248.67471675164447
438,249.53441274259168
440,250.3941050865559
442,251.25380107750306
444,252.11349342146733
446,252.97318941241448
448,253.83288540336162
450,254.6925777473259
452,255.55227373827304
454,256.4119697292202
456,257.2716620731845
458,258.13135806413163
460,258.9910540550788
462,259.85074639904303
464,260.7104423899902
466,261.57013473395443
468,262.4298307249016
470,263.2895267158488
472,264.149219059813
474,265.00891505076015
476,265.86861104170737
478,266.7283033856716
480,267.5879993766187
482,268.4476953675659
484,269.30738771153017
486,270.1670837024773
488,271.02677604644157
490,271.8864720373887
492,272.7461680283359
494,273.6058603723002
496,274.4655563632473
498,275.32525235419445
500,276.1849446981587
502,277.0446406891059
504,277.90433668005306
506,278.76402902401725
508,279.62372501496446
510,280.4834173589287
512,281.34311334987586
514,282.202809340823
516,283.06250168478726
518,283.9221976757344
520,284.78189366668164
522,285.6415860106458
524,286.501282001593
526,287.3609779925402
528,288.22067033650444
530,289.08036632745154
532,289.94006231839876
534,290.7442293473297
536,291.437349393177
538,292.13046579204126
540,292.8235858378885
542,293.51670223675285
