Time (ms),Stress (kPa)
0,0.0
1,1.319154239
2,2.6383085145
3,3.9574626075
4,5.276617175
5,6.59577138
6,7.91492558
7,9.234079785
8,10.553233985
9,11.87238819
10,13.19154239
11,14.51069696
12,15.82985116
13,17.149005365
14,18.468159565
15,19.78731377
16,21.10646797
17,22.425622175
18,23.74477674
19,25.063930945
20,26.383085145
21,27.70223935
22,29.02139355
23,30.340547755
24,31.659701955
25,32.978856525
26,34.298010725
27,35.61716493
28,36.9363184
29,38.25547224
30,39.574626075
31,40.89378356
32,42.2129374
33,43.53209124
34,44.851245075
35,46.170398915
36,47.48955275
37,48.80870659
38,50.12786045
39,51.44701425
40,52.76617175
41,54.0853256
42,55.40447945
43,56.72363325
44,58.0427871
45,59.36194095
46,60.6810948
47,62.0002486
48,63.31940245
49,64.63855995
50,65.9577138
51,67.2768676
52,68.59602145
53,69.9151753
54,71.23432915
55,72.55348295
56,73.8726368
57,75.1917943
58,76.51094815
59,77.83010195
60,79.1492558
61,80.46840965
62,81.7875635
63,83.1067173
64,84.42587115
65,85.745025
66,87.0641825
67,88.3833363
68,89.70249015
69,91.021644
70,92.34079785
71,93.65995165
72,94.9791055
73,96.29825935
74,97.6174132
75,98.93657065
76,100.2557245
77,101.57487835
78,102.8940322
79,104.213186
80,105.53233985
81,106.8514937
82,108.17064755
83,109.48980135
84,110.80895885
85,112.1281127
86,113.44726655
87,114.76642035
88,116.0855742
89,117.40472805
90,118.7238819
91,120.0430357
92,121.36218955
93,122.68134705
94,124.0005009
95,125.3196547
96,126.63880855
97,127.9579624
98,129.27711625
99,130.59627005
100,131.9154239
101,133.2345814
102,134.55373525
103,135.87288905
104,137.1920429
105,138.51119675
106,139.8303506
107,141.1495044
108,142.46865825
109,143.7878121
110,145.1069696
111,146.4261234
112,147.74527725
113,149.0644311
114,150.38358495
115,151.70273875
116,153.0218926
117,154.34104645
118,155.6602003
119,156.97935775
120,158.2985116
121,159.61766545
122,160.9368193
123,162.2559731
124,163.57512695
125,164.8942808
126,166.21343465
127,167.53258845
128,168.85174595
129,170.1708998
130,171.49005365
131,172.80920745
132,174.1283613
133,175.44751515
134,176.46036255
135,177.3200585
136,178.1797545
137,179.03944685
138,179.89914285
139,180.7588352
140,181.61853115
141,182.47822715
142,183.3379195
143,184.1976155
144,185.0573115
145,185.9170038
146,186.7766998
147,187.6363958
148,188.49608815
149,189.35578415
150,190.2154801
151,191.07517245
152,191.93486845
153,192.7945608
154,193.6542568
155,194.51395275
156,195.3736451
157,196.2333411
158,197.0930371
159,197.95272945
160,198.8124254
161,199.6721214
162,200.53181375
163,201.39150975
164,202.2512021
165,203.11089805
166,203.97059405
167,204.8302864
168,205.6899824
169,206.5496784
170,207.40937075
171,208.2690667
172,209.1287627
173,209.98845505
174,210.84815105
175,211.7078434
176,212.56753935
177,213.42723535
178,214.2869277
179,215.1466237
180,216.00631965
181,216.866012
182,217.725708
183,218.585404
184,219.44509635
185,220.30479235
186,221.16448465
187,222.02418065
188,222.88387665
189,223.743569
190,224.603265
191,225.46296095
192,226.3226533
193,227.1823493
194,228.0420453
195,228.90173765
196,229.7614336
197,230.62112595
198,231.48082195
199,232.34051795
200,233.2002103
201,234.05990625
202,234.91960225
203,235.7792946
204,236.6389906
205,237.4986866
206,238.3583789
207,239.2180749
208,240.0777709
209,240.93746325
210,241.79715925
211,242.65685155
212,243.51654755
213,244.37624355
214,245.2359359
215,246.0956319
216,246.95532785
217,247.8150202
218,248.6747162
219,249.5344122
220,250.39410455
221,251.2538005
222,252.11349285
223,252.97318885
224,253.83288485
225,254.6925772
226,255.55227315
227,256.41196915
228,257.2716615
229,258.1313575
230,258.9910535
231,259.8507458
232,260.7104418
233,261.57013415
234,262.42983015
235,263.28952615
236,264.14921845
237,265.00891445
238,265.86861045
239,266.7283028
240,267.5879988
241,268.44769475
242,269.3073871
243,270.1670831
244,271.02677545
245,271.88647145
246,272.7461674
247,273.60585975
248,274.46555575
249,275.32525175
250,276.1849441
251,277.0446401
252,277.90433605
253,278.7640284
254,279.6237244
255,280.48341675
256,281.34311275
257,282.2028087
258,283.06250105
259,283.92219705
260,284.78189305
261,285.6415854
262,286.50128135
263,287.36097735
264,288.2206697
265,289.0803657
266,289.9400617
267,290.7442287
268,291.43734875
269,292.13046515
270,292.8235852
271,293.5167016
272,294.20982165
273,294.90293805
274,295.59605805
275,296.28917445
276,296.9822945
277,297.6754109
278,298.36853095
279,299.061651
280,299.7547674
281,300.44788745
282,301.14100385
283,301.8341239
284,302.5272403
285,303.22036035
286,303.9134767
287,304.60659675
288,305.29971315
289,305.9928332
290,306.6859496
291,307.37906965
292,308.07218605
293,308.7653061
294,309.45842615
295,310.15154255
296,310.8446626
297,311.53777895
298,312.230899
299,312.9240154
300,313.61713545
301,314.31025185
302,315.0033719
303,315.6964883
304,316.38960835
305,317.08272475
306,317.7758448
307,318.46896485
308,319.16208125
309,319.85520125
310,320.54831765
311,321.2414377
312,321.9345541
313,322.62767415
314,323.32079055
315,324.0139106
316,324.707027
317,325.40014705
318,326.09326345
319,326.7863835
320,327.4794999
321,328.1726199
322,328.86573995
323,329.55885635
324,330.2519764
325,330.9450928
326,331.63821285
327,332.33132925
328,333.0244493
329,333.7175657
330,334.41068575
331,335.10380215
332,335.79692215
333,336.49003855
334,337.1831586
335,337.876275
336,338.56939505
337,339.2625151
338,339.9556315
339,340.64875155
340,341.34186795
341,342.034988
342,342.7281044
343,343.42122445
344,344.1143408
345,344.80746085
346,345.50057725
347,346.1936973
348,346.8868137
349,347.57993375
350,348.2730538
351,348.9661702
352,349.65929025
353,350.35240665
354,351.0455267
355,351.7386431
356,352.4317631
357,353.1248795
358,353.81799955
359,354.51111595
360,355.204236
361,355.8973524
362,356.59047245
363,357.28358885
364,357.9767089
365,358.66982895
366,359.36294535
367,360.05606535
368,360.74918175
369,361.4423018
370,362.1354182
371,362.82853825
372,363.52165465
373,364.2147747
374,364.9078838
375,365.6009929
376,366.2941385
377,366.9872476
378,367.6803567
379,368.37350225
380,369.06661135
381,369.75972045
382,370.45282955
383,371.14597515
384,371.83908425
385,372.53219335
386,373.22530245
387,373.918448
388,374.61155715
389,375.30466625
390,375.99777535
391,376.6909209
392,377.38403
393,378.0771391
394,378.7702482
395,379.4633938
396,380.1565029
397,380.849612
398,381.5427211
399,382.23586665
400,382.9289758
401,383.596556
402,384.2641362
403,384.93171645
404,385.59929665
405,386.2668769
406,386.9344571
407,387.6020738
408,388.26965405
409,388.93723425
410,389.6048145
411,390.2723947
412,390.9399749
413,391.60755515
414,392.27513535
415,392.9427156
416,393.6102958
417,394.27787605
418,394.94549275
419,395.61307295
420,396.2806532
421,396.9482334
422,397.6158136
423,398.28339385
424,398.95097405
425,399.6185543
426,400.2861345
427,400.95371475
428,401.62133145
429,402.28891165
430,402.9564919
431,403.6240721
432,404.2916523
433,404.95923255
434,405.62681275
435,406.294393
436,406.9619732
437,407.62955345
438,408.29713365
439,408.96475035
440,409.63233055
441,410.2999108
442,410.967491
443,411.63507125
444,412.30265145
445,412.9702317
446,413.6378119
447,414.30539215
448,414.97297235
449,415.64058905
450,416.30816925
451,416.9757495
452,417.6433297
453,418.31090995
454,418.97849015
455,419.6460704
456,420.3136506
457,420.98123085
458,421.64881105
459,422.31642775
460,422.98400795
461,423.6515882
462,424.3191684
463,424.98674865
464,425.65432885
465,426.3219091
466,426.9894893
467,427.65706955
468,428.32464975
469,428.99223
470,429.65984665
471,430.3274269
472,430.9950071
473,431.66258735
474,432.33016755
475,432.9977478
476,433.665328
477,434.33290825
478,435.00048845
479,435.6680687
480,436.33568535
481,437.0032656
482,437.6708458
483,438.33842605
484,439.00600625
485,439.6735865
486,440.3411667
487,441.00874695
488,441.67632715
489,442.3439074
490,443.01152405
491,443.6791043
492,444.3466845
493,445.01426475
494,445.68184495
495,446.3494252
496,447.0170054
497,447.68458565
498,448.35216585
499,449.0197461
500,449.6873263
501,450.354943
502,451.0225232
503,451.69010345
504,452.35768365
505,453.0252639
506,453.6928441
507,454.36042435
508,455.02800455
509,455.6955848
510,456.363165
511,457.0307817
512,457.6983619
513,458.36594215
514,459.03352235
515,459.7011026
516,460.3686828
517,461.03626305
518,461.70384325
519,462.3714235
520,463.0390037
521,463.7065839
522,464.3742006
523,465.04178085
524,465.70936105
525,466.3769413
526,467.0445215
527,467.71210175
528,468.37968195
529,469.0472622
530,469.7148424
531,470.3824226
532,471.0500393
533,471.71761955
534,472.0667452
535,472.2566436
536,472.446542
537,472.6364404
538,472.8263753
539,473.0162737
540,473.2061721
541,473.3960705
542,473.5859689
543,473.77590375
544,473.96580215
545,474.15570055
546,474.34559895
547,474.53549735
548,474.72539575
549,474.91533065
550,475.10522905
551,475.29512745
552,475.48502585
553,475.67492425
554,475.8648591
555,476.0547575
556,476.2446559
557,476.4345543
558,476.6244527
559,476.81438755
560,477.00428595
561,477.19418435
562,477.38408275
563,477.5739812
564,477.76391605
565,477.95381445
566,478.14371285
567,478.33361125
568,478.52350965
569,478.7134445
570,478.9033429
571,479.0932413
572,479.2831397
573,479.4730381
574,479.6629365
575,479.8528714
576,480.0427698
577,480.2326682
578,480.4225666
579,480.612465
580,480.80239985
581,480.99229825
582,481.18219665
583,481.37209505
584,481.56199345
585,481.75192835
586,481.94182675
587,482.13172515
588,482.32162355
589,482.51152195
590,482.7014568
591,482.8913552
592,483.0812536
593,483.271152
594,483.4610504
595,483.6509853
596,483.8408837
597,484.0307821
598,484.2206805
599,484.4105789
600,484.6004773
601,484.79041215
602,484.98031055
603,485.17020895
604,485.36010735
605,485.55000575
606,485.7399406
607,485.929839
608,486.11973745
609,486.30963585
610,486.49953425
611,486.6894691
612,486.8793675
613,487.0692659
614,487.2591643
615,487.4490627
616,487.63899755
617,487.82889595
618,488.01879435
619,488.20869275
620,488.39859115
621,488.58852605
622,488.77842445
623,488.96832285
624,489.15822125
625,489.34811965
626,489.53801805
627,489.7279529
628,489.9178513
629,490.1077497
630,490.2976481
631,490.4875465
632,490.6774814
633,490.8673798
634,491.0572782
635,491.2471766
636,491.437075
637,491.62700985
638,491.81690825
639,492.00680665
640,492.19670505
641,492.38660345
642,492.57653835
643,492.76643675
644,492.95633515
645,493.14623355
646,493.33613195
647,493.5260668
648,493.7159652
649,493.9058636
650,494.095762
651,494.2856604
652,494.4755588
653,494.6654937
654,494.8553921
655,495.0452905
656,495.2351889
657,495.4250873
658,495.61502215
659,495.80492055
660,495.99481895
661,496.18471735
662,496.37461575
663,496.5645506
664,496.754449
665,496.9443474
666,497.1342458
667,497.2799428
668,497.3372004
669,497.39445805
670,497.4516792
671,497.50893685
672,497.5661945
673,497.6234521
674,497.68070975
675,497.7379309
676,497.79518855
677,497.85244615
678,497.9097038
679,497.96696145
680,498.0241826
681,498.0814402
682,498.13869785
683,498.1959555
684,498.2532131
685,498.31047075
686,498.3676919
687,498.42494955
688,498.4822072
689,498.5394648
690,498.59672245
691,498.6539436
692,498.71120125
693,498.76845885
694,498.8257165
695,498.88297415
696,498.94023175
697,498.9974529
698,499.05471055
699,499.1119682
700,499.1692258
701,499.22648345
702,499.2837046
703,499.34096225
704,499.3982199
705,499.4554775
706,499.51273515
707,499.5699563
708,499.62721395
709,499.68447155
710,499.7417292
711,499.79898685
712,499.85624445
713,499.9134656
714,499.97072325
715,500.027981
716,500.0852385
717,500.142496
718,500.1997175
719,500.256975
720,500.3142325
721,500.37149
722,500.428748
723,500.485969
724,500.5432265
725,500.6004845
726,500.657742
727,500.7149995
728,500.772257
729,500.8294785
730,500.886736
731,500.9439935
732,501.001251
733,501.058509
734,501.11573
735,501.1729875
736,501.2302455
737,501.287503
738,501.3447605
739,501.402018
740,501.4592395
741,501.516497
742,501.5737545
743,501.631012
744,501.68827
745,501.745491
746,501.8027485
747,501.8600065
748,501.917264
749,501.9745215
750,502.0317425
751,502.0890005
752,502.146258
753,502.2035155
754,502.260773
755,502.318031
756,502.375252
757,502.4325095
758,502.4897675
759,502.547025
760,502.6042825
761,502.6615035
762,502.7187615
763,502.776019
764,502.8332765
765,502.890534
766,502.9477555
767,503.005013
768,503.0622705
