Time (ms),Stress (kPa)
0,0.0
1,5.276616956
2,10.553234058
3,15.82985043
4,21.1064687
5,26.38308552
6,31.65970232
7,36.93631914
8,42.21293594
9,47.48955276
10,52.76616956
11,58.04278784
12,63.31940464
13,68.59602146
14,73.87263826
15,79.14925508
16,84.42587188
17,89.7024887
18,94.97910696
19,100.25572378
20,105.53234058
21,110.8089574
22,116.0855742
23,121.36219102
24,126.63880782
25,131.9154261
26,137.1920429
27,142.46865972
28,147.7452736
29,153.02188896
30,158.2985043
31,163.57513424
32,168.8517496
33,174.12836496
34,179.4049803
35,184.68159566
36,189.958211
37,195.23482636
38,200.5114418
39,205.788057
40,211.064687
41,216.3413024
42,221.6179178
43,226.894533
44,232.1711484
45,237.4477638
46,242.7243792
47,248.0009944
48,253.2776098
49,258.5542398
50,263.8308552
51,269.1074704
52,274.3840858
53,279.6607012
54,284.9373166
55,290.2139318
56,295.4905472
57,300.7671772
58,306.0437926
59,311.3204078
60,316.5970232
61,321.8736386
62,327.150254
63,332.4268692
64,337.7034846
65,342.9801
66,348.25673
67,353.5333452
68,358.8099606
69,364.086576
70,369.3631914
71,374.6398066
72,379.916422
73,385.1930374
74,390.4696528
75,395.7462826
76,401.022898
77,406.2995134
78,411.5761288
79,416.852744
80,422.1293594
81,427.4059748
82,432.6825902
83,437.9592054
84,443.2358354
85,448.5124508
86,453.7890662
87,459.0656814
88,464.3422968
89,469.6189122
90,474.8955276
91,480.1721428
92,485.4487582
93,490.7253882
94,496.0020036
95,501.2786188
96,506.5552342
97,511.8318496
98,517.108465
99,522.3850802
100,527.6616956
101,532.9383256
102,538.214941
103,543.4915562
104,548.7681716
105,554.044787
106,559.3214024
107,564.5980176
108,569.874633
109,575.1512484
110,580.4278784
111,585.7044936
112,590.981109
113,596.2577244
114,601.5343398
115,606.810955
116,612.0875704
117,617.3641858
118,622.6408012
119,627.917431
120,633.1940464
121,638.4706618
122,643.7472772
123,649.0238924
124,654.3005078
125,659.5771232
126,664.8537386
127,670.1303538
128,675.4069838
129,680.6835992
130,685.9602146
131,691.2368298
132,696.5134452
133,701.7900606
134,705.8414502
135,709.280234
136,712.719018
137,716.1577874
138,719.5965714
139,723.0353408
140,726.4741246
141,729.9129086
142,733.351678
143,736.790462
144,740.229246
145,743.6680152
146,747.1067992
147,750.5455832
148,753.9843526
149,757.4231366
150,760.8619204
151,764.3006898
152,767.7394738
153,771.1782432
154,774.6170272
155,778.055811
156,781.4945804
157,784.9333644
158,788.3721484
159,791.8109178
160,795.2497016
161,798.6884856
162,802.127255
163,805.566039
164,809.0048084
165,812.4435922
166,815.8823762
167,819.3211456
168,822.7599296
169,826.1987136
170,829.637483
171,833.0762668
172,836.5150508
173,839.9538202
174,843.3926042
175,846.8313736
176,850.2701574
177,853.7089414
178,857.1477108
179,860.5864948
180,864.0252786
181,867.464048
182,870.902832
183,874.341616
184,877.7803854
185,881.2191694
186,884.6579386
187,888.0967226
188,891.5355066
189,894.974276
190,898.41306
191,901.8518438
192,905.2906132
193,908.7293972
194,912.1681812
195,915.6069506
196,919.0457344
197,922.4845038
198,925.9232878
199,929.3620718
200,932.8008412
201,936.239625
202,939.678409
203,943.1171784
204,946.5559624
205,949.9947464
206,953.4335156
207,956.8722996
208,960.3110836
209,963.749853
210,967.188637
211,970.6274062
212,974.0661902
213,977.5049742
214,980.9437436
215,984.3825276
216,987.8213114
217,991.2600808
218,994.6988648
219,998.1376488
220,1001.5764182
221,1005.015202
222,1008.4539714
223,1011.8927554
224,1015.3315394
225,1018.7703088
226,1022.2090926
227,1025.6478766
228,1029.086646
229,1032.52543
230,1035.964214
231,1039.4029832
232,1042.8417672
233,1046.2805366
234,1049.7193206
235,1053.1581046
236,1056.5968738
237,1060.0356578
238,1063.4744418
239,1066.9132112
240,1070.3519952
241,1073.790779
242,1077.2295484
243,1080.6683324
244,1084.1071018
245,1087.5458858
246,1090.9846696
247,1094.423439
248,1097.862223
249,1101.301007
250,1104.7397764
251,1108.1785604
252,1111.6173442
253,1115.0561136
254,1118.4948976
255,1121.933667
256,1125.372451
257,1128.8112348
258,1132.2500042
259,1135.6887882
260,1139.1275722
261,1142.5663416
262,1146.0051254
263,1149.4439094
264,1152.8826788
265,1156.3214628
266,1159.7602468
267,1162.9769148
268,1165.749395
269,1168.5218606
270,1171.2943408
271,1174.0668064
272,1176.8392866
273,1179.6117522
274,1182.3842322
275,1185.1566978
276,1187.929178
277,1190.7016436
278,1193.4741238
279,1196.246604
280,1199.0190696
281,1201.7915498
282,1204.5640154
283,1207.3364956
284,1210.1089612
285,1212.8814414
286,1215.6539068
287,1218.426387
288,1221.1988526
289,1223.9713328
290,1226.7437984
291,1229.5162786
292,1232.2887442
293,1235.0612244
294,1237.8337046
295,1240.6061702
296,1243.3786504
297,1246.1511158
298,1248.923596
299,1251.6960616
300,1254.4685418
301,1257.2410074
302,1260.0134876
303,1262.7859532
304,1265.5584334
305,1268.330899
306,1271.1033792
307,1273.8758594
308,1276.648325
309,1279.420805
310,1282.1932706
311,1284.9657508
312,1287.7382164
313,1290.5106966
314,1293.2831622
315,1296.0556424
316,1298.828108
317,1301.6005882
318,1304.3730538
319,1307.145534
320,1309.9179996
321,1312.6904796
322,1315.4629598
323,1318.2354254
324,1321.0079056
325,1323.7803712
326,1326.5528514
327,1329.325317
328,1332.0977972
329,1334.8702628
330,1337.642743
331,1340.4152086
332,1343.1876886
333,1345.9601542
334,1348.7326344
335,1351.5051
336,1354.2775802
337,1357.0500604
338,1359.822526
339,1362.5950062
340,1365.3674718
341,1368.139952
342,1370.9124176
343,1373.6848978
344,1376.4573632
345,1379.2298434
346,1382.002309
347,1384.7747892
348,1387.5472548
349,1390.319735
350,1393.0922152
351,1395.8646808
352,1398.637161
353,1401.4096266
354,1404.1821068
355,1406.9545724
356,1409.7270524
357,1412.499518
358,1415.2719982
359,1418.0444638
360,1420.816944
361,1423.5894096
362,1426.3618898
363,1429.1343554
364,1431.9068356
365,1434.6793158
