VF 4.08 - 200 spikes:
Time (ms) | Firing Rate (Hz)
------------------------------
147.00 | 0.00
188.00 | 24.39
219.00 | 32.26
244.00 | 40.00
265.00 | 47.62
283.00 | 55.56
299.00 | 62.50
314.00 | 66.67
328.00 | 71.43
342.00 | 71.43
355.00 | 76.92
368.00 | 76.92
380.00 | 83.33
391.00 | 90.91
402.00 | 90.91
413.00 | 90.91
423.00 | 100.00
433.00 | 100.00
443.00 | 100.00
453.00 | 100.00
463.00 | 100.00
472.00 | 111.11
481.00 | 111.11
490.00 | 111.11
499.00 | 111.11
508.00 | 111.11
517.00 | 111.11
525.00 | 125.00
533.00 | 125.00
541.00 | 125.00
549.00 | 125.00
557.00 | 125.00
565.00 | 125.00
573.00 | 125.00
581.00 | 125.00
589.00 | 125.00
597.00 | 125.00
605.00 | 125.00
613.00 | 125.00
620.00 | 142.86
627.00 | 142.86
635.00 | 125.00
643.00 | 125.00
651.00 | 125.00
659.00 | 125.00
667.00 | 125.00
675.00 | 125.00
683.00 | 125.00
691.00 | 125.00
699.00 | 125.00
707.00 | 125.00
715.00 | 125.00
723.00 | 125.00
731.00 | 125.00
739.00 | 125.00
747.00 | 125.00
755.00 | 125.00
763.00 | 125.00
772.00 | 111.11
781.00 | 111.11
790.00 | 111.11
799.00 | 111.11
808.00 | 111.11
817.00 | 111.11
826.00 | 111.11
835.00 | 111.11
845.00 | 100.00
855.00 | 100.00
865.00 | 100.00
875.00 | 100.00
885.00 | 100.00
896.00 | 90.91
907.00 | 90.91
918.00 | 90.91
930.00 | 83.33
942.00 | 83.33
955.00 | 76.92
968.00 | 76.92
982.00 | 71.43
996.00 | 71.43
1011.00 | 66.67
1027.00 | 62.50
1044.00 | 58.82
1062.00 | 55.56
1082.00 | 50.00
1103.00 | 47.62
1126.00 | 43.48
1151.00 | 40.00
1179.00 | 35.71
1210.00 | 32.26
1244.00 | 29.41
1284.00 | 25.00
1331.00 | 21.28
1391.00 | 16.67
1476.00 | 11.76
1552.00 | 13.16
1620.00 | 14.71
1688.00 | 14.71
1760.00 | 13.89
1839.00 | 12.66
1926.00 | 11.49
2024.00 | 10.20
2125.00 | 9.90
2220.00 | 10.53
2304.00 | 11.90
2380.00 | 13.16
2452.00 | 13.89
2524.00 | 13.89
2604.00 | 12.50
2698.00 | 10.64
2777.00 | 12.66
2851.00 | 13.51
2929.00 | 12.82
3021.00 | 10.87
3102.00 | 12.35
3170.00 | 14.71
3233.00 | 15.87
3296.00 | 15.87
3364.00 | 14.71
3441.00 | 12.99
3538.00 | 10.31
3621.00 | 12.05
3695.00 | 13.51
3767.00 | 13.89
3850.00 | 12.05
3941.00 | 10.99
4010.00 | 14.49
4064.00 | 18.52
4112.00 | 20.83
4157.00 | 22.22
4199.00 | 23.81
4232.00 | 30.30
4260.00 | 35.71
4285.00 | 40.00
4308.00 | 43.48
4327.00 | 52.63
4344.00 | 58.82
4360.00 | 62.50
4375.00 | 66.67
4390.00 | 66.67
4404.00 | 71.43
4417.00 | 76.92
4430.00 | 76.92
4442.00 | 83.33
4454.00 | 83.33
4466.00 | 83.33
4477.00 | 90.91
4488.00 | 90.91
4499.00 | 90.91
4510.00 | 90.91
4521.00 | 90.91
4531.00 | 100.00
4541.00 | 100.00
4551.00 | 100.00
4561.00 | 100.00
4571.00 | 100.00
4580.00 | 111.11
4589.00 | 111.11
4598.00 | 111.11
4607.00 | 111.11
4616.00 | 111.11
4625.00 | 111.11
4633.00 | 125.00
4641.00 | 125.00
4649.00 | 125.00
4657.00 | 125.00
4665.00 | 125.00
4673.00 | 125.00
4681.00 | 125.00
4689.00 | 125.00
4697.00 | 125.00
4705.00 | 125.00
4713.00 | 125.00
4721.00 | 125.00
4729.00 | 125.00
4737.00 | 125.00
4745.00 | 125.00
4753.00 | 125.00
4761.00 | 125.00
4769.00 | 125.00
4778.00 | 111.11
4787.00 | 111.11
4796.00 | 111.11
4805.00 | 111.11
4814.00 | 111.11
4824.00 | 100.00
4834.00 | 100.00
4844.00 | 100.00
4854.00 | 100.00
4864.00 | 100.00
4875.00 | 90.91
4886.00 | 90.91
4898.00 | 83.33
4910.00 | 83.33
4923.00 | 76.92
4936.00 | 76.92
4950.00 | 71.43
4965.00 | 66.67
4981.00 | 62.50
4998.00 | 58.82
