VF 4.31 - 235 spikes:
Time (ms) | Firing Rate (Hz)
------------------------------
345.00 | 0.00
382.00 | 27.03
407.00 | 40.00
428.00 | 47.62
447.00 | 52.63
464.00 | 58.82
478.00 | 71.43
491.00 | 76.92
503.00 | 83.33
515.00 | 83.33
526.00 | 90.91
537.00 | 90.91
547.00 | 100.00
557.00 | 100.00
567.00 | 100.00
576.00 | 111.11
585.00 | 111.11
593.00 | 125.00
601.00 | 125.00
609.00 | 125.00
617.00 | 125.00
624.00 | 142.86
631.00 | 142.86
638.00 | 142.86
645.00 | 142.86
652.00 | 142.86
659.00 | 142.86
666.00 | 142.86
672.00 | 166.67
678.00 | 166.67
684.00 | 166.67
690.00 | 166.67
696.00 | 166.67
702.00 | 166.67
708.00 | 166.67
714.00 | 166.67
720.00 | 166.67
726.00 | 166.67
732.00 | 166.67
738.00 | 166.67
744.00 | 166.67
750.00 | 166.67
756.00 | 166.67
762.00 | 166.67
768.00 | 166.67
774.00 | 166.67
780.00 | 166.67
786.00 | 166.67
792.00 | 166.67
798.00 | 166.67
804.00 | 166.67
810.00 | 166.67
816.00 | 166.67
822.00 | 166.67
828.00 | 166.67
834.00 | 166.67
840.00 | 166.67
846.00 | 166.67
852.00 | 166.67
858.00 | 166.67
864.00 | 166.67
871.00 | 142.86
878.00 | 142.86
885.00 | 142.86
892.00 | 142.86
899.00 | 142.86
906.00 | 142.86
913.00 | 142.86
920.00 | 142.86
927.00 | 142.86
934.00 | 142.86
941.00 | 142.86
948.00 | 142.86
956.00 | 125.00
964.00 | 125.00
972.00 | 125.00
980.00 | 125.00
988.00 | 125.00
996.00 | 125.00
1005.00 | 111.11
1014.00 | 111.11
1023.00 | 111.11
1032.00 | 111.11
1041.00 | 111.11
1051.00 | 100.00
1061.00 | 100.00
1071.00 | 100.00
1082.00 | 90.91
1093.00 | 90.91
1105.00 | 83.33
1117.00 | 83.33
1130.00 | 76.92
1143.00 | 76.92
1157.00 | 71.43
1172.00 | 66.67
1188.00 | 62.50
1205.00 | 58.82
1223.00 | 55.56
1242.00 | 52.63
1263.00 | 47.62
1285.00 | 45.45
1309.00 | 41.67
1335.00 | 38.46
1364.00 | 34.48
1396.00 | 31.25
1431.00 | 28.57
1470.00 | 25.64
1514.00 | 22.73
1563.00 | 20.41
1618.00 | 18.18
1681.00 | 15.87
1753.00 | 13.89
1829.00 | 13.16
1897.00 | 14.71
1961.00 | 15.62
2024.00 | 15.87
2087.00 | 15.87
2154.00 | 14.93
2227.00 | 13.70
2307.00 | 12.50
2387.00 | 12.50
2467.00 | 12.50
2543.00 | 13.16
2614.00 | 14.08
2686.00 | 13.89
2760.00 | 13.51
2838.00 | 12.82
2918.00 | 12.50
3000.00 | 12.20
3080.00 | 12.50
3158.00 | 12.82
3236.00 | 12.82
3318.00 | 12.20
3398.00 | 12.50
3477.00 | 12.66
3557.00 | 12.50
3638.00 | 12.35
3720.00 | 12.20
3802.00 | 12.20
3880.00 | 12.82
3948.00 | 14.71
4004.00 | 17.86
4044.00 | 25.00
4078.00 | 29.41
4107.00 | 34.48
4130.00 | 43.48
4150.00 | 50.00
4168.00 | 55.56
4185.00 | 58.82
4201.00 | 62.50
4215.00 | 71.43
4228.00 | 76.92
4240.00 | 83.33
4252.00 | 83.33
4263.00 | 90.91
4274.00 | 90.91
4284.00 | 100.00
4294.00 | 100.00
4304.00 | 100.00
4313.00 | 111.11
4322.00 | 111.11
4331.00 | 111.11
4339.00 | 125.00
4347.00 | 125.00
4355.00 | 125.00
4363.00 | 125.00
4371.00 | 125.00
4379.00 | 125.00
4386.00 | 142.86
4393.00 | 142.86
4400.00 | 142.86
4407.00 | 142.86
4414.00 | 142.86
4421.00 | 142.86
4428.00 | 142.86
4435.00 | 142.86
4442.00 | 142.86
4449.00 | 142.86
4456.00 | 142.86
4463.00 | 142.86
4470.00 | 142.86
4477.00 | 142.86
4484.00 | 142.86
4491.00 | 142.86
4497.00 | 166.67
4503.00 | 166.67
4509.00 | 166.67
4515.00 | 166.67
4521.00 | 166.67
4527.00 | 166.67
4533.00 | 166.67
4540.00 | 142.86
4547.00 | 142.86
4554.00 | 142.86
4561.00 | 142.86
4568.00 | 142.86
4575.00 | 142.86
4582.00 | 142.86
4589.00 | 142.86
4596.00 | 142.86
4603.00 | 142.86
4610.00 | 142.86
4617.00 | 142.86
4624.00 | 142.86
4631.00 | 142.86
4638.00 | 142.86
4646.00 | 125.00
4654.00 | 125.00
4662.00 | 125.00
4670.00 | 125.00
4678.00 | 125.00
4686.00 | 125.00
4695.00 | 111.11
4704.00 | 111.11
4713.00 | 111.11
4722.00 | 111.11
4731.00 | 111.11
4741.00 | 100.00
4751.00 | 100.00
4761.00 | 100.00
4771.00 | 100.00
4782.00 | 90.91
4793.00 | 90.91
4805.00 | 83.33
4817.00 | 83.33
4830.00 | 76.92
4844.00 | 71.43
4858.00 | 71.43
4873.00 | 66.67
4889.00 | 62.50
4907.00 | 55.56
4926.00 | 52.63
4948.00 | 45.45
4972.00 | 41.67
4999.00 | 37.04
