VF 4.08 - 50 spikes (aligned):
Time (ms) | Firing Rate (Hz)
------------------------------
38.00 | 0.00
50.00 | 83.33
59.00 | 111.11
67.00 | 125.00
74.00 | 142.86
81.00 | 142.86
88.00 | 142.86
94.00 | 166.67
100.00 | 166.67
107.00 | 142.86
114.00 | 142.86
121.00 | 142.86
128.00 | 142.86
135.00 | 142.86
143.00 | 125.00
151.00 | 125.00
160.00 | 111.11
170.00 | 100.00
181.00 | 90.91
194.00 | 76.92
210.00 | 62.50
229.00 | 52.63
253.00 | 41.67
286.00 | 30.30
319.00 | 30.30
355.00 | 27.78
397.00 | 23.81
445.00 | 20.83
492.00 | 21.28
540.00 | 20.83
592.00 | 19.23
648.00 | 17.86
698.00 | 20.00
762.00 | 15.62
824.00 | 16.13
868.00 | 22.73
890.00 | 45.45
903.00 | 76.92
913.00 | 100.00
922.00 | 111.11
930.00 | 125.00
937.00 | 142.86
944.00 | 142.86
951.00 | 142.86
957.00 | 166.67
963.00 | 166.67
970.00 | 142.86
977.00 | 142.86
985.00 | 125.00
994.00 | 111.11
