position,SA_spikes,RA_spikes,SA_activated,RA_activated,SA_mean_firing_frequency,RA_mean_firing_frequency,SA_peak_firing_frequency,RA_peak_firing_frequency,SA_first_spike_time,RA_first_spike_time
x27.440675196366236_y17.879734159310487_d4,0,0,0,0,0,0.0,0,0,0,0
x31.178184839298616_y9.609542682317496_d4,0,0,0,0,0.0,0,0,0,0,0
x48.18313802505146_y9.586037970644442_d4,0,0,0,0,0,0.0,0,0,0,0
x28.402228054696614_y23.139915957316525_d4,0,0,0,0,0.0,0,0,0,0,0
x32.40859360255986_y9.206038496013699_d4,0,0,0,0,0,0.0,0,0,0,0
x48.9309171116382_y19.97896410541809_d4,0,0,0,0,0,0.0,0,0,0,0
x36.03163273629584_y14.550494801877678_d4,0,0,0,0,0,0.0,0,0,0,0
x26.092416087503583_y10.36654849976309_d4,0,0,0,0,0.0,0,0,0,0,0
x7.4837433591841585_y5.558034706289691_d4,0,0,0,0,0.0,0,0,0,0,0
x22.807516610827427_y14.210848721716212_d4,0,0,0,0,0.0,0,0,0,0,0
x34.091014955174174_y8.98769751434465_d4,0,0,0,0,0.0,0,0,0,0,0
x17.907608348476252_y18.767153530461407_d4,0,0,0,0,0,0.0,0,0,0,0
x4.964017517948694_y24.24522669366872_d4,0,0,0,0,0,0.0,0,0,0,0
x28.509838520893982_y10.96503783655801_d4,0,0,0,0,0,0.0,0,0,0,0
x32.63951585027454_y15.876471840089096_d4,0,0,0,0,0,0.0,0,0,0,0
x12.664580126989106_y11.657769321407658_d4,0,0,0,0,0.0,0,0,0,0,0
x33.73761611295104_y7.9300435517324015_d4,0,0,0,0,0,0.0,0,0,0,0
x4.804920394698153_y24.411486625334895_d4,0,0,0,0,0,0.0,0,0,0,0
x33.126343347502214_y0.33929089030274584_d4,0,0,0,0,0,0.0,0,0,0,0
x2.7857346850803157_y11.278980363023203_d4,0,0,0,0,0.0,0,0,0,0,0
x14.140348128820479_y3.0049140303292226_d4,0,0,0,0,0.0,0,0,0,0,0
x28.259443330243766_y21.627564032634623_d4,0,0,0,0,0,0.0,0,0,0,0
x4.697025537922084_y14.398662388904482_d4,0,0,0,0,0,0.0,0,0,0,0
x34.43305914028852_y22.011897231314887_d4,0,0,0,0,0,0.0,0,0,0,0
x33.37051899818408_y3.2949465601098042_d4,0,0,0,0,0,0.0,0,0,0,0
x36.75970110612975_y24.054713627935957_d4,0,0,0,0,0.0,0,0,0,0,0
x13.236508214172481_y9.945518818965727_d4,0,0,0,0,0,0.0,0,0,0,0
x41.44700146086816_y0.11738690481367664_d4,0,0,0,0,0,0.0,0,0,0,0
x44.80191937545385_y15.973026905782822_d4,0,0,0,0,0,0.0,0,0,0,0
x22.356268930881367_y21.160216811778195_d4,0,0,0,0,0,0.0,0,0,0,0
x38.35118517793634_y10.295503474121118_d4,0,0,0,0,0,0.0,0,0,0,0
x29.063643631792935_y22.04338404637132_d4,0,0,0,0,0,0.0,0,0,0,0
x32.98342060347064_y13.330156347916205_d4,0,0,0,0,0.0,0,0,0,0,0
x21.192752427908985_y15.159830353198108_d4,0,0,0,0,0.0,0,0,0,0,0
x35.80372656143216_y7.199775109082013_d4,0,0,0,0,0.0,0,0,0,0,0
x21.43843504728831_y3.386851605561256_d4,0,0,0,0,0.0,0,0,0,0,0
x16.049862068674877_y5.53156712959457_d4,0,0,0,0,0.0,0,0,0,0,0
x29.54363806240866_y14.35813122123947_d4,0,0,0,0,0,0.0,0,0,0,0
