Time (ms),Stress (kPa)
0.0309999,0.4764891
0.0319999,0.5245743
0.0329999,0.5726594
0.0339999,0.6207446
0.0349999,0.6688298
0.0359999,0.7169149
0.0369999,0.7650001
0.0379999,0.8130853
0.0389999,0.8611704
0.0399999,0.9092556
0.0409999,0.9573408
0.0419999,1.005426
0.0429999,1.053511
0.0439999,1.101596
0.0449999,1.149681
0.0459999,1.197767
0.0469999,1.245852
0.0479999,1.293937
0.0489999,1.342022
0.0499999,1.390107
0.0509999,1.438192
0.0519999,1.486278
0.0529999,1.534363
0.0539999,1.582448
0.0549999,1.630533
0.0559999,1.678618
0.0569999,1.726703
0.0579999,1.774789
0.0589999,1.822874
0.0599999,1.870959
0.0609999,1.919044
0.0619999,1.967129
0.0629999,2.015214
0.0639999,2.0633
0.0649999,2.111385
0.0659999,2.15947
0.0669999,2.207555
0.0679999,2.25564
0.0689999,2.303725
0.0699999,2.351811
0.0709999,2.399896
0.0719999,2.447981
0.0729999,2.496066
0.0739999,2.544151
0.0749999,2.592236
0.0759999,2.640322
0.0769999,2.688407
0.0779999,2.736492
0.0789999,2.784577
0.0799999,2.832662
0.0809999,2.880747
0.0819999,2.928833
0.0829999,2.976918
0.0839999,3.025003
0.0849999,3.073088
0.0859999,3.121173
0.0869999,3.169258
0.0879999,3.217344
0.0889999,3.265429
0.0899999,3.313514
0.0909999,3.361599
0.0919999,3.409684
0.0929999,3.457769
0.0939999,3.505855
0.0949999,3.55394
0.0959999,3.602025
0.0969999,3.65011
0.0979999,3.698195
0.0989999,3.74628
0.0999999,3.794365
0.1009999,3.842451
0.1019999,3.890536
0.1029999,3.938621
0.1039999,3.986706
0.1049999,4.034791
0.1059999,4.082876
0.1069999,4.130962
0.1079999,4.179047
0.1089999,4.227132
0.1099999,4.275217
0.1109999,4.323302
0.1119999,4.371387
0.1129999,4.419473
0.1139999,4.467558
0.1149999,4.515643
0.1159999,4.563728
0.1169999,4.611813
0.1179999,4.659898
0.1189999,4.707984
0.1199999,4.756069
